iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.823,0.680327868852459,0.3755656108597285,0.36065573770491804,5000,0.2226,0,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
1,0.0,least_risky,0.8387769284225156,0.7301587301587301,0.31724137931034485,0.4603174603174603,7194,0.20072282457603557,306,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
2,0.0,least_risky,0.8166843783209352,0.6328125,0.21372031662269128,0.265625,9407,0.1940044647602849,287,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
3,0.0,least_risky,0.8244176013805005,0.6666666666666666,0.20309050772626933,0.3333333333333333,11587,0.1859842927418659,320,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
4,0.0,least_risky,0.8265602322206096,0.6875,0.18609022556390978,0.375,13780,0.18403483309143687,307,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
5,0.0,least_risky,0.8316677076826983,0.6521739130434783,0.1549053356282272,0.30434782608695654,16008,0.1803473263368316,272,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
6,0.0,least_risky,0.832967032967033,0.6643356643356644,0.1450381679389313,0.32867132867132864,18199,0.17676795428320238,309,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
7,0.0,least_risky,0.8293281020107895,0.5828220858895705,0.1313969571230982,0.1656441717791411,20386,0.1740410085352693,313,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
8,0.0,least_risky,0.8336283185840708,0.5743243243243243,0.10981912144702842,0.14864864864864866,22598,0.1728914063191433,288,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
9,0.0,least_risky,0.8373031893419459,0.6231884057971014,0.10238095238095238,0.2463768115942029,24766,0.17168699022853912,332,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
10,0.0,least_risky,0.8326841031348544,0.5548780487804879,0.09891304347826087,0.10975609756097561,26954,0.17058692587371077,312,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
0,0.0,least_risky,0.801,0.5899280575539568,0.36607142857142855,0.17985611510791366,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
1,0.0,least_risky,0.8168523676880223,0.6532258064516129,0.2691029900332226,0.3064516129032258,7178,0.20883254388409028,322,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
2,0.0,least_risky,0.8218666666666666,0.6575342465753424,0.25263157894736843,0.3150684931506849,9373,0.1955617198335645,305,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
3,0.0,least_risky,0.8273629693569271,0.5958904109589042,0.20327102803738317,0.1917808219178082,11585,0.18713854121709106,288,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
4,0.0,least_risky,0.8258977149075082,0.5652173913043478,0.18163672654690619,0.13043478260869565,13782,0.18059788129444201,303,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
5,0.0,least_risky,0.8331246086412023,0.6038961038961039,0.16460176991150444,0.2077922077922078,15970,0.17714464621164683,312,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
6,0.0,least_risky,0.841034103410341,0.574468085106383,0.1782178217821782,0.14893617021276595,18178,0.17515678292441414,292,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
7,0.0,least_risky,0.8387810272794298,0.6404494382022472,0.16147308781869688,0.2808988764044944,20344,0.17376130554463232,334,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
8,0.0,least_risky,0.8375499334221038,0.6265060240963856,0.1343669250645995,0.25301204819277107,22528,0.17249644886363635,316,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
9,0.0,least_risky,0.8392568659127625,0.5934065934065934,0.13012048192771083,0.18681318681318682,24756,0.17228146711908224,272,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
10,0.0,least_risky,0.8363636363636363,0.5824742268041238,0.12363238512035012,0.16494845360824742,26950,0.17057513914656772,306,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
0,0.0,least_risky,0.826,0.6614173228346457,0.39069767441860465,0.3228346456692913,5000,0.2188,0,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
1,0.0,least_risky,0.8208333333333333,0.6507936507936508,0.27702702702702703,0.30158730158730157,7196,0.20316842690383546,304,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
2,0.0,least_risky,0.8305894848645778,0.6791044776119403,0.24795640326975477,0.3582089552238806,9414,0.19014234119396645,282,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
3,0.0,least_risky,0.8383620689655172,0.7,0.2273781902552204,0.4,11598,0.1852905673391964,316,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
4,0.0,least_risky,0.8285610728524828,0.6597222222222222,0.18304431599229287,0.3194444444444444,13793,0.181831363735228,305,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
5,0.0,least_risky,0.8339587242026266,0.69375,0.18718381112984822,0.3875,15989,0.17687159922446682,304,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
6,0.0,least_risky,0.8342480790340285,0.6626506024096386,0.16717325227963525,0.3253012048192771,18219,0.176189692079697,270,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
7,0.0,least_risky,0.8370896619304262,0.6420454545454546,0.15804195804195803,0.2840909090909091,20410,0.1742283194512494,309,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
8,0.0,least_risky,0.8408940030980305,0.6363636363636364,0.1287779237844941,0.2727272727272727,22591,0.17360895932008322,319,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
9,0.0,least_risky,0.8387421890747833,0.673202614379085,0.12075029308323564,0.3464052287581699,24804,0.17319787131107886,287,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
10,0.0,least_risky,0.832901554404145,0.6242774566473989,0.11416490486257928,0.24855491329479767,27018,0.1719224220889777,286,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
0,0.0,least_risky,0.813,0.5470085470085471,0.32323232323232326,0.09401709401709402,5000,0.211,0,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
1,0.0,least_risky,0.8244755244755245,0.6722689075630253,0.273972602739726,0.3445378151260504,7148,0.19627867935086737,352,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
2,0.0,least_risky,0.8323513658275308,0.6287878787878788,0.23919308357348704,0.25757575757575757,9333,0.18847101682202935,315,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
3,0.0,least_risky,0.8363715277777778,0.6158940397350994,0.22572815533980584,0.23178807947019867,11517,0.18624641833810887,316,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
4,0.0,least_risky,0.8318132068588107,0.6571428571428571,0.18217821782178217,0.3142857142857143,13705,0.18146661802261949,312,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
5,0.0,least_risky,0.830081812460667,0.643312101910828,0.17264957264957265,0.28662420382165604,15888,0.17938066465256797,317,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
6,0.0,least_risky,0.828816371681416,0.5732484076433121,0.14018691588785046,0.1464968152866242,18079,0.17600531002820952,309,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
7,0.0,least_risky,0.8434954332263639,0.6013513513513513,0.13403614457831325,0.20270270270270271,20251,0.17347291491778183,328,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
8,0.0,least_risky,0.8241709325617628,0.656934306569343,0.10804321728691477,0.31386861313868614,22465,0.1723124860894725,286,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
9,0.0,least_risky,0.8353609083536091,0.5595238095238095,0.11298076923076923,0.11904761904761904,24658,0.17089788303998701,307,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
10,0.0,least_risky,0.834046511627907,0.5714285714285714,0.10905125408942203,0.14285714285714285,26873,0.16961262233468538,285,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
0,0.0,least_risky,0.829,0.6923076923076923,0.4072398190045249,0.38461538461538464,5000,0.2196,0,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
1,0.0,least_risky,0.8139372822299652,0.5771812080536913,0.296551724137931,0.15436241610738255,7172,0.20259341885108756,328,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
2,0.0,least_risky,0.8251336898395721,0.6153846153846154,0.24444444444444444,0.23076923076923078,9349,0.19167825435875493,323,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
3,0.0,least_risky,0.8217993079584776,0.5705128205128205,0.20506912442396313,0.14102564102564102,11559,0.18591573665542002,290,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
4,0.0,least_risky,0.8347889374090247,0.6,0.19753086419753085,0.2,13739,0.18036247179561832,320,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
5,0.0,least_risky,0.8285175879396985,0.5842696629213483,0.18055555555555555,0.16853932584269662,15917,0.17742036815982912,322,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
6,0.0,least_risky,0.8351284175642087,0.6326530612244898,0.14622641509433962,0.2653061224489796,18105,0.17426125379729357,312,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
7,0.0,least_risky,0.8339083292262198,0.588957055214724,0.13655761024182078,0.17791411042944785,20288,0.17256506309148265,317,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
8,0.0,least_risky,0.8337413754729579,0.6390532544378699,0.13602015113350127,0.2781065088757396,22463,0.1721497573788007,325,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
9,0.0,least_risky,0.8415400202634246,0.6423841059602649,0.11757575757575757,0.2847682119205298,24675,0.17175278622087134,288,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
10,0.0,least_risky,0.8312558139534884,0.6419753086419753,0.10912906610703044,0.2839506172839506,26875,0.1706046511627907,300,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
0,0.01,least_risky,0.823,0.680327868852459,0.3755656108597285,0.36065573770491804,5000,0.2226,0,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
1,0.01,least_risky,0.8416666666666667,0.6910569105691057,0.3090909090909091,0.3821138211382114,7198,0.20102806335093082,306,4,3,1,0.75,0.6535947712418301,3.0,0.5033737045291184,0,default,gbdt
2,0.01,least_risky,0.8163481953290871,0.6231884057971014,0.22631578947368422,0.2463768115942029,9417,0.19422321333758097,284,3,1,2,0.3333333333333333,0.6830985915492958,1.0,0.510346115103633,0,default,gbdt
3,0.01,least_risky,0.8302455838000862,0.7185185185185186,0.2141280353200883,0.43703703703703706,11603,0.18658967508403,318,4,3,1,0.75,0.6446540880503144,3.0,0.5027462551683254,0,default,gbdt
4,0.01,least_risky,0.8257877580586744,0.6242038216560509,0.18846153846153846,0.2484076433121019,13804,0.18443929295856273,303,4,4,0,1.0,0.6831683168316832,4.0,0.5010748649595299,0,default,gbdt
5,0.01,least_risky,0.8327613104524181,0.6912751677852349,0.1736930860033727,0.3825503355704698,16025,0.1802808112324493,282,3,1,2,0.3333333333333333,0.6879432624113475,1.0,0.5026095060571075,0,default,gbdt
6,0.01,least_risky,0.8291746641074856,0.6099290780141844,0.13149847094801223,0.2198581560283688,18232,0.17688679245283018,296,3,1,2,0.3333333333333333,0.668918918918919,1.0,0.5042486459994026,0,default,gbdt
7,0.01,least_risky,0.8301101591187271,0.6305732484076433,0.1346938775510204,0.2611464968152866,20425,0.1744920440636475,311,4,3,1,0.75,0.6720257234726688,3.0,0.5041640468734101,0,default,gbdt
8,0.01,least_risky,0.8293598233995585,0.6050955414012739,0.11786600496277916,0.21019108280254778,22647,0.17348876230847352,281,3,1,2,0.3333333333333333,0.6868327402135231,1.0,0.5046474603086758,0,default,gbdt
9,0.01,least_risky,0.8364881192106323,0.6219512195121951,0.11971830985915492,0.24390243902439024,24830,0.17245267821184052,321,4,2,2,0.5,0.6510903426791277,2.0,0.5068404231210899,0,default,gbdt
10,0.01,least_risky,0.8334875115633672,0.5987261146496815,0.10096670247046187,0.19745222929936307,27025,0.17143385753931545,309,4,2,2,0.5,0.6957928802588996,2.0,0.5052942479352406,0,default,gbdt
0,0.01,least_risky,0.801,0.5899280575539568,0.36607142857142855,0.17985611510791366,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
1,0.01,least_risky,0.8058455114822547,0.6328125,0.25878594249201275,0.265625,7182,0.20913394597605123,322,4,3,1,0.75,0.6708074534161491,3.0,0.503041912500081,1,default,gbdt
2,0.01,least_risky,0.8272,0.6415094339622641,0.2764227642276423,0.2830188679245283,9372,0.19579598804950918,314,4,2,2,0.5,0.643312101910828,2.0,0.5036816655652699,1,default,gbdt
3,0.01,least_risky,0.8272138228941684,0.6301369863013698,0.2100456621004566,0.2602739726027397,11575,0.18730021598272137,300,3,0,3,0.0,0.6666666666666666,0.0,0.5034536733276535,1,default,gbdt
4,0.01,least_risky,0.823721436343852,0.5985915492957746,0.16536964980544747,0.19718309859154928,13784,0.1806442251886245,294,3,0,3,0.0,0.6700680272108843,0.0,0.5014511143751299,1,default,gbdt
5,0.01,least_risky,0.8277586745858081,0.6363636363636364,0.16526138279932545,0.2727272727272727,15995,0.17805564238824634,292,3,3,0,1.0,0.6815068493150684,3.0,0.500618075943504,1,default,gbdt
6,0.01,least_risky,0.8356239692138537,0.5879120879120879,0.16984126984126985,0.17582417582417584,18190,0.17564595931830676,309,4,3,1,0.75,0.6504854368932039,3.0,0.5008742692955139,1,default,gbdt
7,0.01,least_risky,0.8332105133873741,0.6395348837209303,0.15130674002751032,0.27906976744186046,20352,0.1743808962264151,342,4,0,4,0.0,0.652046783625731,0.0,0.5018871146057196,1,default,gbdt
8,0.01,least_risky,0.8387311446317658,0.6388888888888888,0.148005148005148,0.2777777777777778,22539,0.17312214383956698,317,4,3,1,0.75,0.6561514195583596,3.0,0.5031393541698201,1,default,gbdt
9,0.01,least_risky,0.8301010101010101,0.59375,0.12998859749144812,0.1875,24750,0.1726060606060606,292,3,2,1,0.6666666666666666,0.6952054794520548,2.0,0.5014465235682652,1,default,gbdt
10,0.01,least_risky,0.8455827765404603,0.6280193236714976,0.14689265536723164,0.2560386473429952,26940,0.17082405345211582,314,4,1,3,0.25,0.643312101910828,1.0,0.5026732177882642,1,default,gbdt
0,0.01,least_risky,0.826,0.6614173228346457,0.39069767441860465,0.3228346456692913,5000,0.2188,0,0,0,0,0.0,0.0,0.0,0.0,2,default,gbdt
1,0.01,least_risky,0.8368055555555556,0.6216216216216216,0.2633587786259542,0.24324324324324326,7200,0.20319444444444446,304,4,1,3,0.25,0.6842105263157895,1.0,0.5044932041993105,2,default,gbdt
2,0.01,least_risky,0.8328025477707006,0.7053571428571429,0.2188365650969529,0.4107142857142857,9419,0.19078458435078033,284,3,2,1,0.6666666666666666,0.6302816901408451,2.0,0.5014115133236855,2,default,gbdt
3,0.01,least_risky,0.8306034482758621,0.7021276595744681,0.22,0.40425531914893614,11599,0.18587809293904647,324,4,4,0,1.0,0.7129629629629629,4.0,0.5065891731118822,2,default,gbdt
4,0.01,least_risky,0.8426966292134831,0.7241379310344828,0.21042084168336672,0.4482758620689655,13792,0.18249709976798145,311,4,4,0,1.0,0.6816720257234726,4.0,0.508389668917698,2,default,gbdt
5,0.01,least_risky,0.8433885589246639,0.6686390532544378,0.2025089605734767,0.33727810650887574,15992,0.1779639819909955,304,4,3,1,0.75,0.6282894736842105,3.0,0.5038980004367783,2,default,gbdt
6,0.01,least_risky,0.8454146073585942,0.6342857142857142,0.1819672131147541,0.26857142857142857,18208,0.17629613356766258,287,3,3,0,1.0,0.6898954703832753,3.0,0.506467691953321,2,default,gbdt
7,0.01,least_risky,0.8401177047572339,0.6358024691358025,0.14798850574712644,0.2716049382716049,20386,0.17389384871970961,326,4,2,2,0.5,0.6533742331288344,2.0,0.5036603619757393,2,default,gbdt
8,0.01,least_risky,0.8425249169435216,0.6455696202531646,0.13474240422721268,0.2911392405063291,22573,0.1733929916271652,317,4,1,3,0.25,0.6340694006309149,1.0,0.5017263871679302,2,default,gbdt
9,0.01,least_risky,0.8376688848558177,0.6594202898550725,0.1071849234393404,0.3188405797101449,24791,0.17296599572425478,285,3,3,0,1.0,0.7157894736842105,3.0,0.5038853391765304,2,default,gbdt
10,0.01,least_risky,0.8361414552860581,0.6172839506172839,0.10834236186348863,0.2345679012345679,27003,0.1716475947116987,291,3,2,1,0.6666666666666666,0.6494845360824743,2.0,0.5030411008866742,2,default,gbdt
0,0.01,least_risky,0.813,0.5470085470085471,0.32323232323232326,0.09401709401709402,5000,0.211,0,0,0,0,0.0,0.0,0.0,0.0,3,default,gbdt
1,0.01,least_risky,0.8245981830887491,0.672566371681416,0.2620689655172414,0.34513274336283184,7152,0.19630872483221476,352,4,1,3,0.25,0.6789772727272727,1.0,0.5020535524288705,3,default,gbdt
2,0.01,least_risky,0.8305630026809652,0.6384615384615384,0.23579545454545456,0.27692307692307694,9322,0.1877279553743832,334,4,1,3,0.25,0.6766467065868264,1.0,0.5023435828154874,3,default,gbdt
3,0.01,least_risky,0.8357949609035621,0.6,0.24087591240875914,0.2,11510,0.18566463944396178,316,4,0,4,0.0,0.6424050632911392,0.0,0.5010026017060414,3,default,gbdt
4,0.01,least_risky,0.8394160583941606,0.6111111111111112,0.1864406779661017,0.2222222222222222,13697,0.18164561582828356,317,4,3,1,0.75,0.6088328075709779,3.0,0.5035268606740453,3,default,gbdt
5,0.01,least_risky,0.8343828715365239,0.6527777777777778,0.1649122807017544,0.3055555555555556,15878,0.17961959944577402,323,4,3,1,0.75,0.6996904024767802,3.0,0.5052817490335283,3,default,gbdt
6,0.01,least_risky,0.835870467755328,0.6012269938650306,0.15654952076677317,0.20245398773006135,18063,0.17638266068759342,319,4,1,3,0.25,0.6614420062695925,1.0,0.5043891003105919,3,default,gbdt
7,0.01,least_risky,0.838111715274345,0.6375,0.1459227467811159,0.275,20226,0.1736378918224068,341,4,2,2,0.5,0.656891495601173,2.0,0.5013102616998545,3,default,gbdt
8,0.01,least_risky,0.8388678404279029,0.5915492957746479,0.11214953271028037,0.18309859154929578,22433,0.1721570900013373,296,3,1,2,0.3333333333333333,0.6554054054054054,1.0,0.5039725706371752,3,default,gbdt
9,0.01,least_risky,0.8434517766497462,0.5732484076433121,0.11335012594458438,0.1464968152866242,24622,0.17074161319145478,315,4,2,2,0.5,0.6285714285714286,2.0,0.509807441808225,3,default,gbdt
10,0.01,least_risky,0.8392025340040992,0.5697674418604651,0.1104847801578354,0.13953488372093023,26832,0.1694618366129994,293,3,1,2,0.3333333333333333,0.6484641638225256,1.0,0.5033618221699543,3,default,gbdt
0,0.01,least_risky,0.829,0.6923076923076923,0.4072398190045249,0.38461538461538464,5000,0.2196,0,0,0,0,0.0,0.0,0.0,0.0,4,default,gbdt
1,0.01,least_risky,0.825208913649025,0.6267605633802817,0.31010452961672474,0.2535211267605634,7176,0.20275919732441472,328,4,2,2,0.5,0.6798780487804879,2.0,0.501274125432492,4,default,gbdt
2,0.01,least_risky,0.8253205128205128,0.6258503401360545,0.25274725274725274,0.25170068027210885,9360,0.1922008547008547,320,4,2,2,0.5,0.621875,2.0,0.5019580841108353,4,default,gbdt
3,0.01,least_risky,0.8239102287440656,0.5987261146496815,0.214123006833713,0.19745222929936307,11582,0.1869279917112761,281,3,2,1,0.6666666666666666,0.708185053380783,2.0,0.5017305304442722,4,default,gbdt
4,0.01,least_risky,0.8294010889292196,0.5885714285714285,0.2055888223552894,0.17714285714285713,13774,0.18157397996224772,312,4,3,1,0.75,0.6410256410256411,3.0,0.504358390268584,4,default,gbdt
5,0.01,least_risky,0.8256506741925368,0.6114649681528662,0.16243654822335024,0.2229299363057325,15942,0.17827123322042404,336,4,2,2,0.5,0.6517857142857143,2.0,0.5034804446745947,4,default,gbdt
6,0.01,least_risky,0.8398125172318721,0.5759493670886076,0.15041322314049588,0.1518987341772152,18135,0.1754618141714916,311,4,4,0,1.0,0.6109324758842444,4.0,0.5014893994253844,4,default,gbdt
7,0.01,least_risky,0.8286558345642541,0.5714285714285714,0.11715481171548117,0.14285714285714285,20308,0.17318298207602914,331,4,2,2,0.5,0.6283987915407855,2.0,0.502000711157619,4,default,gbdt
8,0.01,least_risky,0.8332592263228101,0.6363636363636364,0.1320754716981132,0.2727272727272727,22489,0.1731513184223398,323,4,4,0,1.0,0.6842105263157895,4.0,0.5016030312827462,4,default,gbdt
9,0.01,least_risky,0.8315789473684211,0.5837837837837838,0.12514484356894554,0.16756756756756758,24699,0.1725980808939633,293,3,1,2,0.3333333333333333,0.6040955631399317,1.0,0.5014671632841682,4,default,gbdt
10,0.01,least_risky,0.833922261484099,0.6358024691358025,0.10992529348986126,0.2716049382716049,26885,0.1710991259066394,318,4,2,2,0.5,0.7044025157232704,2.0,0.5032958186100664,4,default,gbdt
0,0.02,least_risky,0.823,0.680327868852459,0.3755656108597285,0.36065573770491804,5000,0.2226,0,0,0,0,0.0,0.0,0.0,0.0,0,default,gbdt
1,0.02,least_risky,0.8313671061762665,0.647887323943662,0.32280701754385965,0.29577464788732394,7201,0.2013609220941536,306,7,6,1,0.8571428571428571,0.6535947712418301,6.0,0.506785985854427,0,default,gbdt
2,0.02,least_risky,0.83342175066313,0.6722689075630253,0.22535211267605634,0.3445378151260504,9424,0.1946095076400679,283,6,5,1,0.8333333333333334,0.6925795053003534,5.0,0.5055259703764001,0,default,gbdt
3,0.02,least_risky,0.8291003013344813,0.6744186046511628,0.19683257918552036,0.3488372093023256,11613,0.18668733316111255,318,7,4,3,0.5714285714285714,0.6540880503144654,4.0,0.5091261943666398,0,default,gbdt
4,0.02,least_risky,0.8223589001447178,0.6776315789473685,0.1889908256880734,0.35526315789473684,13819,0.18474564006078587,301,7,5,2,0.7142857142857143,0.6777408637873754,5.0,0.5075664116488804,0,default,gbdt
5,0.02,least_risky,0.8334371108343711,0.6962962962962963,0.1598639455782313,0.3925925925925926,16060,0.1811332503113325,265,6,3,3,0.5,0.690566037735849,3.0,0.5068704538292091,0,default,gbdt
6,0.02,least_risky,0.8336070060207992,0.6375,0.15644171779141106,0.275,18267,0.17769748727213008,299,6,3,3,0.5,0.6655518394648829,3.0,0.5061984993818044,0,default,gbdt
7,0.02,least_risky,0.8286482522610609,0.6211180124223602,0.13513513513513514,0.2422360248447205,20455,0.1752138841359081,319,7,4,3,0.5714285714285714,0.6614420062695925,4.0,0.5059731540462258,0,default,gbdt
8,0.02,least_risky,0.8306878306878307,0.620253164556962,0.12158808933002481,0.24050632911392406,22677,0.17414120033514133,284,6,4,2,0.6666666666666666,0.6901408450704225,4.0,0.503645639399746,0,default,gbdt
9,0.02,least_risky,0.8337019907500502,0.6341463414634146,0.11940298507462686,0.2682926829268293,24865,0.1730544942690529,319,7,3,4,0.42857142857142855,0.6551724137931034,3.0,0.5052201354901833,0,default,gbdt
10,0.02,least_risky,0.8301921655580192,0.5644171779141104,0.09787234042553192,0.12883435582822086,27058,0.17196392933697982,314,7,5,2,0.7142857142857143,0.697452229299363,5.0,0.5054216634701058,0,default,gbdt
0,0.02,least_risky,0.801,0.5899280575539568,0.36607142857142855,0.17985611510791366,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,1,default,gbdt
1,0.02,least_risky,0.8065414057063326,0.6544117647058824,0.278125,0.3088235294117647,7185,0.2093249826026444,322,7,5,2,0.7142857142857143,0.6708074534161491,5.0,0.5040439204969885,1,default,gbdt
2,0.02,least_risky,0.8295151838039425,0.656934306569343,0.24793388429752067,0.31386861313868614,9385,0.19659030367607885,307,7,3,4,0.42857142857142855,0.6351791530944625,3.0,0.5052695008125466,1,default,gbdt
3,0.02,least_risky,0.825,0.6363636363636364,0.20449438202247192,0.2727272727272727,11599,0.18837830847486853,292,6,1,5,0.16666666666666666,0.6643835616438356,1.0,0.5030705168834105,1,default,gbdt
4,0.02,least_risky,0.8228902571532054,0.621301775147929,0.19811320754716982,0.24260355029585798,13805,0.1814559942049982,301,7,4,3,0.5714285714285714,0.6744186046511628,4.0,0.5024831079366191,1,default,gbdt
