iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.822,0.6747967479674797,0.3755656108597285,0.34959349593495936,5000,0.2226,0,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
1,0.0,least_risky,0.825330549756437,0.6857142857142857,0.31683168316831684,0.37142857142857144,7183,0.20256160378671864,317,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
2,0.0,least_risky,0.824,0.6012658227848101,0.26243093922651933,0.20253164556962025,9375,0.19509333333333334,308,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
3,0.0,least_risky,0.8337673611111112,0.6728395061728395,0.24829157175398633,0.345679012345679,11519,0.18656133344908413,356,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
4,0.0,least_risky,0.8308366824990866,0.6629213483146067,0.22648752399232247,0.3258426966292135,13685,0.18385093167701863,334,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
5,0.0,least_risky,0.8315491183879093,0.6457142857142857,0.19283276450511946,0.2914285714285714,15880,0.18016372795969773,305,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
6,0.0,least_risky,0.8382719468291332,0.655367231638418,0.18153364632237873,0.3107344632768362,18051,0.17688770705224088,329,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
7,0.0,least_risky,0.8310660400692556,0.6193181818181818,0.1503448275862069,0.23863636363636365,20215,0.1742765273311897,336,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
8,0.0,least_risky,0.8302097278000893,0.5352112676056338,0.14690721649484537,0.07042253521126761,22408,0.17306319171724385,307,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
9,0.0,least_risky,0.8377773254630572,0.5595238095238095,0.17049576783555018,0.11904761904761904,24561,0.17177639346932128,347,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
10,0.0,least_risky,0.832646948708349,0.5483870967741935,0.14814814814814814,0.0967741935483871,26707,0.17089152656606882,354,0,0,0,0.0,0.0,0.0,0.0,0,default,rf
0,0.0,least_risky,0.795,0.5673758865248227,0.35714285714285715,0.1347517730496454,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
1,0.0,least_risky,0.807799442896936,0.620253164556962,0.31210191082802546,0.24050632911392406,7177,0.2119269889926153,323,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
2,0.0,least_risky,0.8237506716818914,0.6710526315789473,0.26842105263157895,0.34210526315789475,9301,0.197505644554349,376,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
3,0.0,least_risky,0.8268812527185733,0.5947368421052631,0.26036866359447003,0.18947368421052632,11491,0.18936559046210077,310,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
4,0.0,least_risky,0.8214024835646457,0.5520833333333334,0.2082514734774067,0.10416666666666667,13686,0.1826684202835014,305,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
5,0.0,least_risky,0.8244010088272383,0.5504587155963303,0.20725388601036268,0.10091743119266056,15860,0.17994955863808323,326,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
6,0.0,least_risky,0.8273660838190396,0.5390946502057613,0.20436817472698907,0.07818930041152264,18011,0.17683637776914107,349,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
7,0.0,least_risky,0.8353643372295448,0.5578512396694215,0.1956521739130435,0.11570247933884298,20102,0.17446025271117302,409,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
8,0.0,least_risky,0.829619626378573,0.5868725868725869,0.18952618453865336,0.17374517374517376,22214,0.1724137931034483,388,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
9,0.0,least_risky,0.8367556468172485,0.5860655737704918,0.17084826762246116,0.1721311475409836,24347,0.17110937692528855,367,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
10,0.0,least_risky,0.8399395998489996,0.5658362989323843,0.17966101694915254,0.13167259786476868,26486,0.1691837197009741,361,0,0,0,0.0,0.0,0.0,0.0,1,default,rf
0,0.0,least_risky,0.825,0.65625,0.39069767441860465,0.3125,5000,0.2188,0,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
