iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.7825,0.5335051546391752,0.07852807283763277,0.06701030927835051,60000,0.22338333333333332,0,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
1,0.0,least_risky,0.7811076923076923,0.5084745762711864,0.050519225371877634,0.01694915254237288,81250,0.2208123076923077,702,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
2,0.0,least_risky,0.7812652305292913,0.5661538461538461,0.04060913705583756,0.13230769230769232,102590,0.21955356272541182,612,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
3,0.0,least_risky,0.7844820636839984,0.592814371257485,0.036605657237936774,0.18562874251497005,124049,0.21880063523285154,493,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
4,0.0,least_risky,0.7876069697907001,0.5837696335078534,0.03571428571428571,0.16753926701570682,145485,0.21822180980857134,516,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
5,0.0,least_risky,0.7848260569921793,0.6016713091922006,0.02977667493796526,0.20334261838440112,166865,0.2180864770922602,572,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
6,0.0,least_risky,0.7843392368763442,0.6218274111675127,0.029812606473594547,0.2436548223350254,188302,0.2178415523998683,515,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
7,0.0,least_risky,0.785457232059868,0.6373056994818653,0.027009222661396576,0.27461139896373055,209795,0.2179365571152792,459,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
8,0.0,least_risky,0.7845252507782774,0.6355140186915887,0.020290431668987467,0.27102803738317754,231278,0.21750879893461547,469,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
9,0.0,least_risky,0.7817005874325046,0.5739348370927319,0.02063806777217015,0.14786967418546365,252793,0.21740317176504095,437,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
