iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.7838333333333334,0.562874251497006,0.07132018209408195,0.12574850299401197,60000,0.22338333333333332,0,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
1,0.0,least_risky,0.7820315860628034,0.5060975609756098,0.04674739509997184,0.012195121951219513,81363,0.221279942971621,589,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
2,0.0,least_risky,0.7817836812144212,0.5360824742268041,0.046089076002658984,0.07216494845360824,102761,0.22023919580385554,554,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
3,0.0,least_risky,0.7836499758492996,0.5615763546798029,0.04202764976958526,0.12315270935960591,124218,0.21957365277174,495,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
4,0.0,least_risky,0.784578941947887,0.4950884086444008,0.04019138755980861,-0.009823182711198428,145642,0.21898902789030636,528,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
5,0.0,least_risky,0.7854898087456227,0.5319548872180451,0.03930009720872101,0.06390977443609022,167052,0.21883605104997247,542,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
6,0.0,least_risky,0.785181844709128,0.5448275862068965,0.038773006134969326,0.0896551724137931,188484,0.21860210946287217,520,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
7,0.0,least_risky,0.7839150516642065,0.5245098039215687,0.03525148253898529,0.049019607843137254,210010,0.2186943478881958,426,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
8,0.0,least_risky,0.7828894792544115,0.5152838427947598,0.03514345279459943,0.03056768558951965,231494,0.21830371413513958,468,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
9,0.0,least_risky,0.7818163850182824,0.5163398692810458,0.035701373825018076,0.032679738562091505,252972,0.21817829641225117,474,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
10,0.0,least_risky,0.7822213314870823,0.5213675213675214,0.035618952285618954,0.042735042735042736,274428,0.21831955922865015,496,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,rf
0,0.0,least_risky,0.7800833333333334,0.5563139931740614,0.06100299401197605,0.11262798634812286,60000,0.22658333333333333,0,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
1,0.0,least_risky,0.7773821218074656,0.49184782608695654,0.05,-0.016304347826086956,81436,0.2239058892872931,516,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
2,0.0,least_risky,0.7828496427008896,0.5495978552278821,0.045515097690941385,0.09919571045576407,102852,0.22082215221872203,536,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
3,0.0,least_risky,0.7803121731434548,0.5066666666666667,0.04170477409914029,0.013333333333333334,124288,0.22050399073120494,516,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
4,0.0,least_risky,0.7777282239527943,0.5169491525423728,0.03756735950731332,0.03389830508474576,145742,0.21957294396948032,498,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
5,0.0,least_risky,0.7830064577852188,0.5349794238683128,0.03565551289083928,0.06995884773662552,167238,0.21900525000298976,456,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,rf
