iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.804,0.7021276595744681,0.15348837209302327,0.40425531914893614,5000,0.2248,0,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
1,0.0,least_risky,0.7730590577305906,0.6382978723404256,0.08450704225352113,0.2765957446808511,7535,0.2242866622428666,88,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
2,0.0,least_risky,0.8,0.7142857142857143,0.08254716981132075,0.42857142857142855,10074,0.2194758784991066,84,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
3,0.0,least_risky,0.789515488482923,0.5441176470588235,0.06902985074626866,0.08823529411764706,12590,0.218109610802224,107,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
4,0.0,least_risky,0.7879589811445584,0.56,0.06461538461538462,0.12,15112,0.2187665431445209,101,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
5,0.0,least_risky,0.7835694050991502,0.573170731707317,0.06056701030927835,0.14634146341463414,17647,0.2188473961579872,88,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
6,0.0,least_risky,0.7878712871287129,0.5256410256410257,0.047619047619047616,0.05128205128205128,20199,0.21808010297539482,71,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
7,0.0,least_risky,0.7836887227962189,0.5428571428571428,0.03838383838383838,0.08571428571428572,22744,0.22054168132254662,78,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
8,0.0,least_risky,0.7810522151898734,0.6268656716417911,0.037366548042704624,0.2537313432835821,25277,0.21897377062151363,90,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
9,0.0,least_risky,0.7823508267433501,0.580952380952381,0.0496742671009772,0.1619047619047619,27817,0.21914656505014918,83,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
10,0.0,least_risky,0.7789126853377265,0.611764705882353,0.03820720058780309,0.2235294117647059,30348,0.21928957427178067,92,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
0,0.0,least_risky,0.759,0.5,0.08298755186721991,0.0,5000,0.2366,0,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
1,0.0,least_risky,0.76657824933687,0.6341463414634146,0.07162534435261708,0.2682926829268293,7538,0.22870788007429027,85,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
2,0.0,least_risky,0.7880893300248138,0.5789473684210527,0.07568807339449542,0.15789473684210525,10073,0.2281346172937556,88,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
3,0.0,least_risky,0.7679207920792079,0.5333333333333333,0.04074702886247878,0.06666666666666667,12624,0.22679024081115337,72,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
4,0.0,least_risky,0.7757655581165624,0.5862068965517241,0.049204052098408106,0.1724137931034483,15184,0.22457850368809273,63,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
5,0.0,least_risky,0.7818848758465011,0.5740740740740741,0.03969270166453265,0.14814814814814814,17717,0.22238527967488853,90,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
6,0.0,least_risky,0.7793682132280355,0.5396825396825397,0.03781979977753059,0.07936507936507936,20259,0.2228639123352584,81,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
7,0.0,least_risky,0.7790442788250768,0.5176470588235295,0.043521266073194856,0.03529411764705882,22807,0.22278247906344542,75,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
8,0.0,least_risky,0.7761782685860777,0.5824175824175825,0.04608695652173913,0.16483516483516483,25353,0.22163057626316413,77,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
9,0.0,least_risky,0.7755686906680996,0.5339805825242718,0.04365079365079365,0.06796116504854369,27911,0.22220629859195298,65,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
10,0.0,least_risky,0.781973403382039,0.5784313725490197,0.04389880952380952,0.1568627450980392,30451,0.22015697349840727,83,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
0,0.0,least_risky,0.785,0.4883720930232558,0.09813084112149532,-0.023255813953488372,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
1,0.0,least_risky,0.7965310206804537,0.625,0.109717868338558,0.25,7492,0.22330485851575013,131,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
2,0.0,least_risky,0.7915831663326653,0.5172413793103449,0.07177033492822966,0.034482758620689655,9980,0.21953907815631263,135,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
3,0.0,least_risky,0.7877452943532238,0.5147058823529411,0.06578947368421052,0.029411764705882353,12482,0.21623137317737542,121,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
4,0.0,least_risky,0.7891927951967979,0.5333333333333333,0.06279434850863422,0.06666666666666667,14990,0.21841227484989995,115,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
5,0.0,least_risky,0.7986864648772131,0.5932203389830508,0.04888268156424581,0.1864406779661017,17508,0.21732922092757598,105,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
6,0.0,least_risky,0.791958041958042,0.5211267605633803,0.04425837320574163,0.04225352112676056,20019,0.2166441880213797,112,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
7,0.0,least_risky,0.7880266075388027,0.7169811320754716,0.03881511746680286,0.4339622641509434,22549,0.21690540600470087,93,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
8,0.0,least_risky,0.790711580625872,0.6610169491525424,0.03648269410664172,0.3220338983050847,25081,0.21773454009010804,91,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
9,0.0,least_risky,0.7913799348062296,0.6756756756756757,0.042444821731748725,0.35135135135135137,27607,0.21682906509218677,97,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
10,0.0,least_risky,0.7889497262319562,0.6229508196721312,0.029526029526029528,0.2459016393442623,30131,0.21728452424413394,99,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
0,0.0,least_risky,0.774,0.5416666666666666,0.11304347826086956,0.08333333333333333,5000,0.2296,0,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
1,0.0,least_risky,0.7777777777777778,0.4807692307692308,0.07530120481927711,-0.038461538461538464,7512,0.22630457933972312,111,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
2,0.0,least_risky,0.7902097902097902,0.5769230769230769,0.07009345794392523,0.15384615384615385,10010,0.22247752247752248,125,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
3,0.0,least_risky,0.7817238627294493,0.5614035087719298,0.05776173285198556,0.12280701754385964,12527,0.223277720124531,106,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
4,0.0,least_risky,0.7863077434363576,0.6,0.07283763277693475,0.2,15043,0.22249551286312572,107,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
5,0.0,least_risky,0.7828067179049246,0.546875,0.045513654096228866,0.09375,17563,0.22137448044183797,103,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
6,0.0,least_risky,0.7796863330843914,0.5897435897435898,0.05116796440489433,0.1794871794871795,20082,0.22034657902599342,104,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
7,0.0,least_risky,0.7889036251105217,0.5857142857142857,0.04239917269906929,0.17142857142857143,22619,0.21910782970069412,86,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
8,0.0,least_risky,0.7920890479030014,0.5569620253164557,0.04170616113744076,0.11392405063291139,25153,0.21814495288832347,89,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
9,0.0,least_risky,0.7871725383920506,0.5111111111111111,0.03898305084745763,0.022222222222222223,27672,0.218235039028621,104,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
10,0.0,least_risky,0.7899619016067583,0.48936170212765956,0.036334913112164295,-0.02127659574468085,30185,0.21795593837999006,110,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,gbdt
0,0.0,least_risky,0.779,0.56,0.12334801762114538,0.12,5000,0.2324,0,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
1,0.0,least_risky,0.7605633802816901,0.52,0.07242339832869081,0.04,7454,0.22363831499865844,169,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
2,0.0,least_risky,0.7928607340372046,0.609375,0.09154929577464789,0.21875,9941,0.22130570365154412,136,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
3,0.0,least_risky,0.780281690140845,0.5087719298245614,0.05301645338208409,0.017543859649122806,12422,0.21598776364514571,142,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
4,0.0,least_risky,0.7962466487935657,0.5714285714285714,0.05834683954619125,0.14285714285714285,14919,0.21362021583216034,126,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
5,0.0,least_risky,0.7706000574217629,0.5833333333333334,0.051787916152897656,0.16666666666666666,17414,0.21471230044791548,128,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
6,0.0,least_risky,0.7773878164953623,0.5789473684210527,0.03678929765886288,0.15789473684210525,19944,0.2136983553951063,93,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
7,0.0,least_risky,0.7853170189098999,0.5254237288135594,0.03202479338842975,0.05084745762711865,22474,0.21353564118536977,93,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
8,0.0,least_risky,0.792,0.5757575757575758,0.03619047619047619,0.15151515151515152,24999,0.21520860834433378,98,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
9,0.0,least_risky,0.7936104556180795,0.5757575757575758,0.03312990409764603,0.15151515151515152,27544,0.21768806273598607,78,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
10,0.0,least_risky,0.78563113254615,0.5176470588235295,0.034055727554179564,0.03529411764705882,30063,0.21701094368492832,104,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,gbdt
0,0.01,least_risky,0.804,0.7021276595744681,0.15348837209302327,0.40425531914893614,5000,0.2248,0,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,gbdt
1,0.01,least_risky,0.7871352785145889,0.559322033898305,0.10060975609756098,0.11864406779661017,7536,0.2243895966029724,88,1,1,0,1.0,0.5454545454545454,1.0,0.5016320934090867,0,ppdai_imb77,gbdt
2,0.01,least_risky,0.786779324055666,0.6363636363636364,0.06349206349206349,0.2727272727272727,10060,0.21858846918489067,100,1,0,1,0.0,0.64,0.0,0.5022859072104742,0,ppdai_imb77,gbdt
3,0.01,least_risky,0.7786168521462639,0.5694444444444444,0.07231040564373897,0.1388888888888889,12580,0.21740858505564387,105,2,1,1,0.5,0.5714285714285714,1.0,0.5008512638930454,0,ppdai_imb77,gbdt
4,0.01,least_risky,0.7835870284579749,0.6,0.045180722891566265,0.2,15110,0.21793514228987426,94,1,0,1,0.0,0.6914893617021277,0.0,0.5004596934881128,0,ppdai_imb77,gbdt
5,0.01,least_risky,0.7898612291135656,0.6153846153846154,0.052840158520475564,0.23076923076923078,17652,0.21799229549059596,82,1,0,1,0.0,0.6219512195121951,0.0,0.5019426396499036,0,ppdai_imb77,gbdt
6,0.01,least_risky,0.7872340425531915,0.4666666666666667,0.04918032786885246,-0.06666666666666667,20209,0.2175763273788906,67,1,0,1,0.0,0.47761194029850745,0.0,0.5010896814555739,0,ppdai_imb77,gbdt
7,0.01,least_risky,0.7898901098901099,0.5733333333333334,0.04446742502585315,0.14666666666666667,22746,0.2200386881209883,87,1,1,0,1.0,0.7011494252873564,1.0,0.5013619849664664,0,ppdai_imb77,gbdt
8,0.01,least_risky,0.7943851324634242,0.6060606060606061,0.03795066413662239,0.21212121212121213,25290,0.2184262554369316,80,1,0,1,0.0,0.6,0.0,0.5018031863126998,0,ppdai_imb77,gbdt
9,0.01,least_risky,0.7835070068271649,0.6470588235294118,0.035918367346938776,0.29411764705882354,27829,0.21865679686657802,85,1,1,0,1.0,0.6,1.0,0.5010222727428252,0,ppdai_imb77,gbdt
10,0.01,least_risky,0.7827733860342556,0.5909090909090909,0.03895131086142322,0.18181818181818182,30359,0.21891366645805196,94,1,1,0,1.0,0.6595744680851063,1.0,0.5001064975362987,0,ppdai_imb77,gbdt
0,0.01,least_risky,0.759,0.5,0.08298755186721991,0.0,5000,0.2366,0,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,gbdt
1,0.01,least_risky,0.7679045092838196,0.5,0.05714285714285714,0.0,7539,0.22867754344077465,85,1,0,1,0.0,0.49411764705882355,0.0,0.5013608510884269,1,ppdai_imb77,gbdt
2,0.01,least_risky,0.7818542389687655,0.6,0.05357142857142857,0.2,10085,0.22835894893406047,78,1,0,1,0.0,0.6666666666666666,0.0,0.501081993146662,1,ppdai_imb77,gbdt
3,0.01,least_risky,0.778876582278481,0.62,0.0542907180385289,0.24,12636,0.2270496992719215,73,1,1,0,1.0,0.5616438356164384,1.0,0.5003494870063372,1,ppdai_imb77,gbdt
4,0.01,least_risky,0.7732806844356697,0.5925925925925926,0.045779685264663805,0.18518518518518517,15192,0.22498683517640863,68,1,0,1,0.0,0.5588235294117647,0.0,0.500446631390193,1,ppdai_imb77,gbdt
5,0.01,least_risky,0.7682548632647308,0.52,0.04727272727272727,0.04,17731,0.22266087643110935,85,1,1,0,1.0,0.6352941176470588,1.0,0.500049358864731,1,ppdai_imb77,gbdt
6,0.01,least_risky,0.772189349112426,0.5512820512820513,0.046137339055793994,0.10256410256410256,20277,0.2232085614242738,78,1,1,0,1.0,0.6153846153846154,1.0,0.5014748820228312,1,ppdai_imb77,gbdt
7,0.01,least_risky,0.7838843880008759,0.5342465753424658,0.03931451612903226,0.0684931506849315,22833,0.22331712871720755,68,1,1,0,1.0,0.6764705882352942,1.0,0.5015400675189647,1,ppdai_imb77,gbdt
8,0.01,least_risky,0.7864039408866995,0.5641025641025641,0.04021937842778794,0.1282051282051282,25373,0.22216529381626138,84,1,0,1,0.0,0.6428571428571429,0.0,0.500147600653209,1,ppdai_imb77,gbdt
9,0.01,least_risky,0.7871845355289064,0.6145833333333334,0.04872006606110652,0.22916666666666666,27934,0.22281091143409465,63,1,0,1,0.0,0.5873015873015873,0.0,0.5018687028206872,1,ppdai_imb77,gbdt
10,0.01,least_risky,0.7855619360131255,0.6153846153846154,0.04216867469879518,0.23076923076923078,30471,0.2202421974992616,87,1,1,0,1.0,0.7471264367816092,1.0,0.5002949142594925,1,ppdai_imb77,gbdt
0,0.01,least_risky,0.785,0.4883720930232558,0.09813084112149532,-0.023255813953488372,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,gbdt
