iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
0,0.0,least_risky,0.795,0.625,0.11627906976744186,0.25,5000,0.2248,0,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
1,0.0,least_risky,0.7869507323568575,0.5333333333333333,0.07430340557275542,0.06666666666666667,7509,0.22373152217339193,114,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
2,0.0,least_risky,0.7832167832167832,0.5434782608695652,0.11312217194570136,0.08695652173913043,10010,0.217982017982018,122,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
3,0.0,least_risky,0.7812375249500998,0.4895833333333333,0.08608058608058608,-0.020833333333333332,12523,0.21688093907210731,110,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
4,0.0,least_risky,0.7876871880199667,0.4583333333333333,0.06984126984126984,-0.08333333333333333,15023,0.2173334220861346,123,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
5,0.0,least_risky,0.7853268626891237,0.528169014084507,0.09868421052631579,0.056338028169014086,17512,0.21750799451804476,134,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
6,0.0,least_risky,0.7910112359550562,0.5080645161290323,0.07508939213349225,0.016129032258064516,20025,0.216729088639201,110,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
7,0.0,least_risky,0.7865542489460838,0.5,0.06756756756756757,0.0,22534,0.21913552853465873,114,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
8,0.0,least_risky,0.7851437699680511,0.5241935483870968,0.06007393715341959,0.04838709677419355,25039,0.21738088581812373,118,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
9,0.0,least_risky,0.7893972403776325,0.5323741007194245,0.06330196749358426,0.06474820143884892,27539,0.21732815280148154,123,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
10,0.0,least_risky,0.7878182725911134,0.558282208588957,0.07032457496136012,0.1165644171779141,30043,0.2175215524415005,119,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
0,0.0,least_risky,0.764,0.6,0.06224066390041494,0.2,5000,0.2366,0,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
1,0.0,least_risky,0.7746852220013254,0.5416666666666666,0.0755813953488372,0.08333333333333333,7541,0.2295451531627105,82,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
2,0.0,least_risky,0.773247140726007,0.5,0.07894736842105263,0.0,10053,0.22918531781557744,111,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
3,0.0,least_risky,0.7587440381558028,0.4714285714285714,0.05472636815920398,-0.05714285714285714,12576,0.22725826972010177,100,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
4,0.0,least_risky,0.7672185430463576,0.5432098765432098,0.061971830985915494,0.08641975308641975,15098,0.22420188104384686,101,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
5,0.0,least_risky,0.772611284377658,0.5,0.0685785536159601,0.0,17631,0.22171175769950655,90,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
6,0.0,least_risky,0.7795431976166832,0.5161290322580645,0.07174887892376682,0.03225806451612903,20139,0.22210636079249219,115,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
7,0.0,least_risky,0.7806223791657471,0.484375,0.06262626262626263,-0.03125,22652,0.2215256930955324,110,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
8,0.0,least_risky,0.7843799682034976,0.47398843930635837,0.0762081784386617,-0.05202312138728324,25158,0.22032753001033467,117,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
9,0.0,least_risky,0.7812725958062183,0.5490196078431373,0.06857142857142857,0.09803921568627451,27656,0.22038617298235463,125,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
10,0.0,least_risky,0.7807992041120876,0.5061728395061729,0.061933534743202415,0.012345679012345678,30154,0.217981030709027,125,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
0,0.0,least_risky,0.791,0.5471698113207547,0.13551401869158877,0.09433962264150944,5000,0.2286,0,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
1,0.0,least_risky,0.7846153846153846,0.43283582089552236,0.0926517571884984,-0.13432835820895522,7473,0.22347116285293725,150,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
2,0.0,least_risky,0.7965846308387745,0.45348837209302323,0.0982367758186398,-0.09302325581395349,9954,0.21950974482620053,142,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
