ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.8334503238968063,0.19001344492102284,0.0,0.17066035212134645
least_risky,0.01,0.8376673077756168,0.21983971997389226,20.4,0.17089329364455375
least_risky,0.02,0.832859659257607,0.19181697647955315,36.2,0.1716061086019894
least_risky,0.05,0.8356209343131595,0.22380696124794158,87.2,0.1727961874084555
least_risky,0.1,0.8359233144839052,0.20518539061718286,164.8,0.17471324250101883
least_risky,0.15,0.831540298048558,0.19822445786663292,253.8,0.17690721788535912
least_risky,0.2,0.8333053871432442,0.21992127941689263,338.4,0.1790677864254603
least_risky,0.3,0.8274777868998984,0.2053594962263679,526.4,0.1833947252987858
least_risky,0.5,0.8249963552660798,0.2942035810367991,920.8,0.19376166065905537
least_risky,0.75,0.8211932099500052,0.3044521911573425,1463.6,0.2073725634559293
least_risky,1.0,0.8189,0.3538007962810881,2034.2,0.2212
most_risky,0.0,0.8334503238968063,0.19001344492102284,0.0,0.17066035212134645
most_risky,0.01,0.83687181506779,0.21522427342064643,26.4,0.17169757293926097
most_risky,0.02,0.8350650851942717,0.22992045335088712,54.2,0.17266698033801556
most_risky,0.05,0.8377596236975915,0.28920263693797565,126.4,0.17442445117465072
most_risky,0.1,0.8348127692073465,0.3031202108383214,239.2,0.17775468926753105
most_risky,0.15,0.8374753547894883,0.32869673772514024,358.2,0.18103085058963406
most_risky,0.2,0.8360187090730259,0.37940406646155617,471.2,0.18406805815090274
most_risky,0.3,0.8318257676346758,0.36973076892935286,693.0,0.19023912169330165
most_risky,0.5,0.8286632958431767,0.37647341467216694,1102.6,0.20050974152256335
most_risky,0.75,0.825167834642033,0.3812865277873183,1597.6,0.21214508389923226
most_risky,1.0,0.8200666666666667,0.35252965426044264,2030.4,0.2212
random,0.0,0.8334503238968063,0.19001344492102284,0.0,0.17066035212134645
random,0.01,0.8376037313704116,0.18973084941346952,25.0,0.1714832915896763
random,0.02,0.8392134345758595,0.24160736634164107,44.8,0.17190551065559098
random,0.05,0.8347091081692396,0.23082534053679576,102.4,0.1734744256203423
random,0.1,0.8349568627686355,0.26784001919129613,209.0,0.17624127284198093
random,0.15,0.8302123962589493,0.28876629674141824,311.2,0.17914699137963072
random,0.2,0.8330103112773418,0.24535966259476055,418.6,0.18178008558710407
random,0.3,0.8295573156942748,0.2881614279336677,620.4,0.18711899340229565
random,0.5,0.8292658804566265,0.3422810302330899,1014.2,0.19740015678730283
random,0.75,0.8259285150237021,0.30064164525961584,1538.2,0.20966948933054774
random,1.0,0.8185,0.3442692031054754,2031.8,0.2212
