ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.8334925031017051,0.08599331576207733,0.0,0.1703127399848727
least_risky,0.01,0.8390490435915602,0.13320213003969608,15.6,0.17105601131868925
least_risky,0.02,0.8361329475357013,0.1457584755042574,37.2,0.17122139613498052
least_risky,0.05,0.8335322054969229,0.12855063269866124,83.2,0.17223550671910556
least_risky,0.1,0.8342561245151867,0.15691075059006265,167.4,0.17479425261315734
least_risky,0.15,0.8306141218791849,0.15079956508495576,254.6,0.17660660487510454
least_risky,0.2,0.8318896305566241,0.1520791332153601,335.6,0.17895171657957484
least_risky,0.3,0.8257151561108751,0.13581210687444745,521.2,0.18349382206070444
least_risky,0.5,0.8224381151343859,0.21028412333597166,927.2,0.19355104273254073
least_risky,0.75,0.8193747300455054,0.25569364303364417,1454.0,0.20678433129959947
least_risky,1.0,0.8110666666666667,0.27641510775368855,2032.2,0.2212
most_risky,0.0,0.8334925031017051,0.08599331576207733,0.0,0.1703127399848727
most_risky,0.01,0.8356692429994709,0.13411883079240255,36.0,0.1715919382484375
most_risky,0.02,0.836058410175309,0.17956153221117005,63.0,0.17185154197001082
most_risky,0.05,0.8378949255756185,0.1834596953657613,139.4,0.17460520930111964
most_risky,0.1,0.8361832968409463,0.22761115897615297,256.0,0.17819965756276648
most_risky,0.15,0.8346858837168487,0.22237389428849355,379.2,0.18182709183844034
most_risky,0.2,0.8320820118475833,0.24555788678591992,483.6,0.1847919315253009
most_risky,0.3,0.8318994548939509,0.28043887689182123,713.0,0.19098254103354012
most_risky,0.5,0.8271388657219629,0.3074700729811368,1143.4,0.20181520233319833
most_risky,0.75,0.8211887111028192,0.32303808011893087,1615.2,0.2128212659966214
most_risky,1.0,0.8157333333333334,0.2924002675686735,2036.8,0.2212
random,0.0,0.8334925031017051,0.08599331576207733,0.0,0.1703127399848727
random,0.01,0.8348048520533627,0.1107624525527521,23.0,0.17116370746866733
random,0.02,0.8380394829237752,0.16174168016599952,43.2,0.1714991152520784
random,0.05,0.8327390644995987,0.16345274737802098,108.8,0.17375997228610612
random,0.1,0.8353166942904936,0.16338866645843392,209.0,0.17624497183971105
random,0.15,0.8354279625237144,0.23424936935500842,323.2,0.17898218583806633
random,0.2,0.830711643516981,0.1833452893352463,421.6,0.18202527341353544
random,0.3,0.829011905136918,0.23241563389211578,638.6,0.1876796039766152
random,0.5,0.8237565503797049,0.22500411178550297,1021.2,0.19758572249716744
random,0.75,0.82008500023708,0.2515521619964379,1546.2,0.20999048756916178
random,1.0,0.8144333333333333,0.3124718909661643,2032.6,0.2212
