ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.7822157219545339,0.07559191746022569,0.0,0.2184768368475647
least_risky,0.01,0.781458284588157,0.06978449312072244,26.6,0.2185492588172983
least_risky,0.02,0.7822826422749838,0.016524396799575666,54.0,0.218617759200524
least_risky,0.05,0.7812417758401142,0.06293148795239699,121.8,0.2187458154236425
least_risky,0.1,0.7816637823800321,0.04728014549044758,254.2,0.21887807205880883
least_risky,0.15,0.7810059633999247,0.03246786761525862,376.2,0.21915196269489895
least_risky,0.2,0.7820506045875282,0.05182085123545018,485.6,0.21945324476779318
least_risky,0.3,0.7804946984372585,0.059507072202475586,752.2,0.21994746529787018
least_risky,0.5,0.7792971201192346,0.0718113522537062,1284.4,0.22100083888826183
least_risky,0.75,0.7785839257948004,0.05632760148842837,2008.4,0.22242323970636474
least_risky,1.0,0.7781124785346308,0.10668851230947596,2816.0,0.22413423010875788
most_risky,0.0,0.7822157219545339,0.07559191746022569,0.0,0.2184768368475647
most_risky,0.01,0.7815599749698907,0.051217295120384254,35.2,0.21851806168102844
most_risky,0.02,0.7820689337145806,0.04045904002174624,61.2,0.21859790577822777
most_risky,0.05,0.7826673489711384,0.06894633776990522,158.6,0.21880278744823478
most_risky,0.1,0.7815481950095435,0.05521792455275869,310.0,0.21903943291181358
most_risky,0.15,0.7826593392716767,0.07502559376714443,449.2,0.21936298204969043
most_risky,0.2,0.7817521044356944,0.08233714602091965,619.8,0.21968443355944003
most_risky,0.3,0.780869640587726,0.061458002487530305,901.2,0.22032423988257804
most_risky,0.5,0.7810042353607047,0.09304662491957996,1474.6,0.221453215767079
most_risky,0.75,0.7787059502688162,0.10184897485386728,2182.4,0.22282599007003023
most_risky,1.0,0.7787313966800229,0.10768670640167763,2855.6,0.22413423010875788
random,0.0,0.7822157219545339,0.07559191746022569,0.0,0.2184768368475647
random,0.01,0.7812303770576093,0.03170636490562172,27.0,0.2185281784748887
random,0.02,0.7826324411003392,0.049624678627985655,54.4,0.21856278668075751
random,0.05,0.7817799183703448,0.05810778720780892,137.8,0.2187273359813387
random,0.1,0.7800983179302186,0.05672900003515822,262.6,0.21896324468189107
random,0.15,0.7815421239956963,0.06863448249462825,409.4,0.2192977808276589
random,0.2,0.7802001331504075,0.03997741867276967,537.4,0.21955102153848854
random,0.3,0.7809749255810913,0.05593667907801768,822.0,0.22006825024260207
random,0.5,0.7803461522627317,0.07239724490163899,1388.0,0.2211787460319091
random,0.75,0.779290585382101,0.08052055301567719,2108.8,0.22266565591778303
random,1.0,0.7787492844876931,0.08081180572988718,2867.8,0.22413423010875788
