ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.785085769820926,0.12806226362187706,0.0,0.21833959081584803
least_risky,0.01,0.7859545092888082,0.14759639213010806,7.4,0.2185299394287336
least_risky,0.02,0.7902763417704776,0.23515486339849856,12.4,0.21835038377109872
least_risky,0.05,0.7864440025263624,0.16501432033487554,28.0,0.21881987900001296
least_risky,0.1,0.7905056537900728,0.1503750035203686,53.0,0.21916100186177415
least_risky,0.15,0.7876174728904441,0.22464400790586048,77.4,0.2195674561187695
least_risky,0.2,0.7854547927229001,0.14766540197551312,108.2,0.22024686149849151
least_risky,0.3,0.7850733525191574,0.2678962184407802,159.0,0.22120476066268308
least_risky,0.5,0.783908295300959,0.21009478431283357,265.4,0.2233621727572157
least_risky,0.75,0.7836230541114235,0.23508055469826653,440.2,0.22647248298240652
least_risky,1.0,0.7856227985910983,0.2768832040655577,612.4,0.23000320204931154
most_risky,0.0,0.785085769820926,0.12806226362187706,0.0,0.21833959081584803
most_risky,0.01,0.7857371343677959,0.2353003878655687,9.0,0.2184179106916757
most_risky,0.02,0.786532546839293,0.10782229474718848,17.6,0.21890441151963866
most_risky,0.05,0.7871499060637623,0.162279651664891,36.6,0.2193839958671485
most_risky,0.1,0.786009072699686,0.2693321882795567,71.2,0.2199187037144187
most_risky,0.15,0.7881532383645233,0.28043463019001413,104.2,0.22055212012707198
most_risky,0.2,0.7886001584353832,0.23680042099669696,140.8,0.22126213269680747
most_risky,0.3,0.7876120354468008,0.2531445132139291,195.4,0.22257772400859527
most_risky,0.5,0.7870510280832439,0.29163723110705153,329.8,0.2249047427219446
most_risky,0.75,0.7821584106660125,0.25739528155752966,471.0,0.22764416033208512
most_risky,1.0,0.7853666346461735,0.25693529205510224,600.2,0.23000320204931154
random,0.0,0.785085769820926,0.12806226362187706,0.0,0.21833959081584803
random,0.01,0.7881049091170331,0.2878107768430349,6.4,0.21857683465846067
random,0.02,0.7863910578296206,0.12678310901970816,11.8,0.2183483967821529
random,0.05,0.7855603225236918,0.2314860043796918,34.2,0.21861526680846238
random,0.1,0.7856343532372829,0.21734193032438648,65.2,0.21975454428162208
random,0.15,0.7863291986983251,0.24985367366319747,91.0,0.21998014657659754
random,0.2,0.7859155631227936,0.19267249267249267,121.0,0.2205432723813537
random,0.3,0.7840691102915838,0.29538460007998457,180.2,0.2218719696916447
random,0.5,0.7901789596462013,0.24646684131767255,299.6,0.22416719118042802
random,0.75,0.7813363133809946,0.1878248692854683,446.0,0.22708602958527915
random,1.0,0.7797950688440601,0.2323611420371981,604.8,0.23000320204931154
