dataset,model,ranking_strategy,exploration_rate,iteration,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,kickout_mean,kickout_std,training_set_size_mean,training_set_size_std,training_default_rate_mean,training_default_rate_std,n_explored_mean,n_explored_std,n_explored_defaulted_mean,n_explored_defaulted_std,exploration_cost_mean,exploration_cost_std,cumulative_cost_mean,cumulative_cost_std,exploration_default_rate_mean,exploration_default_rate_std,reject_default_rate_mean,reject_default_rate_std,explored_risk_mean_mean,explored_risk_mean_std
default,gbdt,least_risky,0.0,0,0.8183999999999999,0.011436782764396608,0.6341978977114602,0.0628637836776646,0.37256137121732197,0.03168603801842743,0.26839579542292036,0.12572756735532928,5000.0,0.0,0.22012,0.006388427036446456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,1,0.8229750872298721,0.009691571345291458,0.6567256606041421,0.05479225739387236,0.28677914464965026,0.019968780672702403,0.3134513212082841,0.10958451478774481,7177.6,19.46278500112456,0.20231917871318322,0.004534763915284772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,2,0.8253251171038565,0.006398078414370766,0.6427247436719554,0.02541051854039462,0.23958916537154923,0.015272877701874151,0.28544948734391073,0.050821037080789236,9375.2,35.315718879841675,0.19197155939372004,0.002859537618886001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,3,0.82966269508784,0.0073368955544496255,0.6297927875746981,0.0527858798884364,0.2129074011565284,0.012494450174133025,0.25958557514939623,0.1055717597768729,11569.2,32.49923076012727,0.18611511125833644,0.0006710787622934605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,4,0.8295242328496872,0.003735676826422635,0.6339164941338854,0.04986603790560993,0.1860960700244844,0.006620103185447555,0.2678329882677709,0.09973207581121986,13759.8,36.87411015875495,0.18165863358786893,0.0014593029655936766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,5,0.8314700881853785,0.002214405553380386,0.6354803563543517,0.04288199671546526,0.17197920897494162,0.012758593114156813,0.27096071270870337,0.08576399343093054,15954.4,50.302087431835226,0.17823292091706847,0.0015399518279809643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,6,0.8344388009314054,0.0044098688286365595,0.6214711641438976,0.045257237041202894,0.15536851459658696,0.01644853834962647,0.2429423282877951,0.09051447408240576,18156.0,60.89334939055346,0.1756761986225633,0.0009792576009948102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,7,0.8365205107346458,0.005306544247020422,0.6111250770406695,0.02830191740941718,0.14430115156077744,0.01427879714991044,0.22225015408133902,0.05660383481883438,20335.8,66.27367501504642,0.17361372230808308,0.0006522263513853971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,8,0.8339969126277852,0.006263881759421219,0.6266363091583118,0.03123832103051688,0.1234054677433076,0.013497542483014956,0.2532726183166236,0.06247664206103381,22529.0,65.30313928135449,0.17269181159422722,0.0005824249335279556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,gbdt,least_risky,0.0,9,0.8384406345893052,0.0022990136806691794,0.6183411058133709,0.0438535960528881,0.11676165083968512,0.010199631839738056,0.2366822116267417,0.08770719210577618,24731.8,62.531592015556214,0.1719633995839117,0.0008487009231629228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
