dataset,model,ranking_strategy,exploration_rate,iteration,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,kickout_mean,kickout_std,training_set_size_mean,training_set_size_std,training_default_rate_mean,training_default_rate_std,n_explored_mean,n_explored_std,n_explored_defaulted_mean,n_explored_defaulted_std,exploration_cost_mean,exploration_cost_std,cumulative_cost_mean,cumulative_cost_std,exploration_default_rate_mean,exploration_default_rate_std,reject_default_rate_mean,reject_default_rate_std,explored_risk_mean_mean,explored_risk_mean_std
default,rf,least_risky,0.0,0,0.8114000000000001,0.012218837915284702,0.6061410212238073,0.06200847331467185,0.360820905800386,0.02523743340572855,0.21228204244761453,0.1240169466293438,5000.0,0.0,0.22012,0.006388427036446456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,1,0.8173997864374872,0.009619191710150913,0.5904450621878249,0.06681004199348341,0.2934306887349455,0.020207599490501823,0.18089012437564975,0.13362008398696684,7171.8,9.01110426085495,0.20343271296873205,0.005110998571800952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,2,0.8227461741952551,0.005554030565101673,0.6268890936170368,0.026555181692044173,0.26443443027961205,0.008183169698596336,0.2537781872340736,0.05311036338408837,9339.4,34.61647006845152,0.19318299000908684,0.0030318082640481015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,3,0.8309950047922949,0.006217511704631776,0.6060626925638047,0.03994209898707169,0.25336735353823686,0.014590073007125292,0.21212538512760948,0.07988419797414341,11512.8,25.791471458604423,0.18732390107246483,0.0013515063083634725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,4,0.8276960761453834,0.004723412413138207,0.6048702850789811,0.04522867228147153,0.21383742294447985,0.007577308700580331,0.20974057015796216,0.09045734456294313,13676.6,22.733235581412604,0.18275059142603642,0.0010036157183745099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,5,0.8283305332121629,0.004503109542836574,0.593940589557214,0.03554536081018031,0.1998801815997259,0.007098872717096336,0.18788117911442803,0.07109072162036068,15854.4,29.871390995398897,0.17948395131460845,0.0013393641126732258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,6,0.8316706977688385,0.006007107504805741,0.595483069955644,0.05556520956460765,0.18419125566934663,0.01438353999620709,0.19096613991128816,0.11113041912921526,18021.4,37.48733119335134,0.17640133645187797,0.0013513151196086583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,7,0.8345130414915121,0.003094146928382434,0.5701539799913006,0.03641680661843022,0.17821109281315126,0.022386309304367757,0.14030795998260112,0.07283361323686048,20168.4,56.8489225931327,0.1741639601125239,0.0008077073649414139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,8,0.8357593908607133,0.006192328032722079,0.5867117635104271,0.030074865488703494,0.16886960803990103,0.018738077479909472,0.17342352702085412,0.06014973097740686,22326.8,82.10785589698476,0.17295656078701885,0.000705035787848299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,9,0.83372604627026,0.005339416370469009,0.5686794956300325,0.03807722153537554,0.15610688563698302,0.01847457464642367,0.137358991260065,0.0761544430707511,24487.2,98.28631644333798,0.17185830495246693,0.001213302421742736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.0,10,0.8334925031017051,0.005019420000198266,0.5429966578810387,0.0264162711037197,0.1500430926936636,0.017533214322008394,0.08599331576207733,0.052832542207439534,26638.6,105.27250353249917,0.1703127399848727,0.001460161834602127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.01,0,0.8114000000000001,0.012218837915284702,0.6061410212238073,0.06200847331467185,0.360820905800386,0.02523743340572855,0.21228204244761453,0.1240169466293438,5000.0,0.0,0.22012,0.006388427036446456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rf,least_risky,0.01,1,0.8179178067781503,0.00809311001033922,0.6073014566762653,0.04500507503535009,0.2801070327641061,0.0179697732197828,0.2146029133525306,0.09001015007070015,7175.8,9.01110426085495,0.20359800663183641,0.005199227494804884,4.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.25,0.640464688819345,0.04124696115703171,0.51,0.0
default,rf,least_risky,0.01,2,0.8194531543194365,0.010484569655317667,0.5939673396915769,0.03347873159294368,0.25569925493212003,0.024181452949014054,0.18793467938315372,0.06695746318588726,9347.4,35.3666509582121,0.1929957692400673,0.00345280759725551,3.8,0.447213595499958,1.8,1.3038404810405297,1.8,1.3038404810405297,3.8,1.7888543819998317,0.5,0.39528470752104744,0.6191301356838528,0.049803036721288586,0.51,0.0
default,rf,least_risky,0.01,3,0.8237497820296241,0.004871518709837944,0.5877255318900098,0.03258297733406549,0.23367707636376284,0.026084478788194174,0.17545106378001948,0.06516595466813109,11522.0,38.45126785946079,0.18748709837618222,0.0017715682308982281,3.8,0.44721359549995787,2.0,1.224744871391589,2.0,1.224744871391589,5.8,1.3038404810405297,0.5333333333333333,0.31512784001981725,0.6322807098697882,0.03956260219282042,0.51,0.0
default,rf,least_risky,0.01,4,0.824351168658364,0.004334749683120676,0.6086582356348457,0.04149623950219586,0.20786658944727807,0.011584191409542473,0.21731647126969128,0.08299247900439172,13691.0,42.40283009422845,0.18276272199449922,0.000822435949962889,4.0,0.0,1.8,1.4832396974191326,1.8,1.4832396974191326,7.6,1.51657508881031,0.45,0.37080992435478316,0.6246964105185908,0.028715843752623878,0.51,0.0
default,rf,least_risky,0.01,5,0.8355455959822138,0.005937292567088265,0.6036302696133828,0.02960628976703047,0.21353364995098095,0.010523571275813728,0.2072605392267656,0.05921257953406099,15864.4,61.56541236765988,0.17923289568276282,0.0010682251383880197,4.0,0.0,1.4,0.894427190999916,1.4,0.894427190999916,9.0,2.1213203435596424,0.35,0.223606797749979,0.6360884573702631,0.016916516378146874,0.51,0.0
default,rf,least_risky,0.01,6,0.8341004224280913,0.0040390628831164805,0.5831481604389284,0.039870554337328,0.19349631710505005,0.02355470111764071,0.16629632087785667,0.07974110867465596,18044.2,73.38392194479663,0.1764117425380382,0.0013595942848772175,4.0,0.0,1.0,0.7071067811865476,1.0,0.7071067811865476,10.0,2.1213203435596424,0.25,0.1767766952966369,0.625044028606123,0.008874512947035337,0.51,0.0
default,rf,least_risky,0.01,7,0.8345832865937322,0.005281848486330624,0.5716841853131491,0.02149212410040105,0.18408358334369163,0.02240450147860942,0.14336837062629815,0.04298424820080205,20200.0,87.34987120768986,0.17413974226383072,0.0009318018412795254,4.0,0.0,1.2,1.7888543819998317,1.2,1.7888543819998317,11.2,1.3038404810405297,0.3,0.4472135954999579,0.6267015354257517,0.02248951814134571,0.5096999999999999,0.0006708203932499747
default,rf,least_risky,0.01,8,0.8352669919717783,0.0027252748667286344,0.5715403038752405,0.033798681036074155,0.1537422636334472,0.022585703932283804,0.14308060775048098,0.06759736207214827,22374.0,104.63030153832118,0.17321816664382955,0.0006918814336154997,4.0,0.0,1.8,1.3038404810405297,1.8,1.3038404810405297,13.0,2.23606797749979,0.45,0.32596012026013244,0.6312849676193399,0.031148290761175448,0.509875,0.00027950849718745536
default,rf,least_risky,0.01,9,0.8346973571535186,0.003600098997617516,0.5853091370327396,0.029462023415128078,0.16081707905971918,0.0060399587294950804,0.17061827406547903,0.058924046830256135,24548.4,125.24695605083559,0.172407173942759,0.0010996038551511391,3.6,0.5477225575051661,1.4,1.140175425099138,1.4,1.140175425099138,14.4,1.8165902124584952,0.3833333333333333,0.31512784001981725,0.6139422697560596,0.03832088464511125,0.51,0.0
default,rf,least_risky,0.01,10,0.8390490435915602,0.002821360713209668,0.566601065019848,0.025875215969883222,0.1572207268399099,0.010341593861810217,0.13320213003969608,0.051750431939766486,26719.2,133.39677657274913,0.17105601131868925,0.0012782028151631626,4.0,0.0,1.2,0.8366600265340756,1.2,0.8366600265340756,15.6,1.8165902124584945,0.3,0.2091650066335189,0.6205782786754868,0.028282557229929766,0.5098583333333334,0.00031677629681246323
default,rf,least_risky,0.02,0,0.8114000000000001,0.012218837915284702,0.6061410212238073,0.06200847331467185,0.360820905800386,0.02523743340572855,0.21228204244761453,0.1240169466293438,5000.0,0.0,0.22012,0.006388427036446456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
