dataset,model,ranking_strategy,exploration_rate,iteration,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,kickout_mean,kickout_std,training_set_size_mean,training_set_size_std,training_default_rate_mean,training_default_rate_std,n_explored_mean,n_explored_std,n_explored_defaulted_mean,n_explored_defaulted_std,exploration_cost_mean,exploration_cost_std,cumulative_cost_mean,cumulative_cost_std,exploration_default_rate_mean,exploration_default_rate_std,reject_default_rate_mean,reject_default_rate_std,explored_risk_mean_mean,explored_risk_mean_std
ppdai_imb77,rf,least_risky,0.0,0,0.78,0.012845232578665154,0.5702343780645667,0.03971296122678578,0.10486765834394426,0.02978595668269455,0.1404687561291335,0.07942592245357143,5000.0,0.0,0.2304,0.0044068129073061395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,1,0.7774384341392487,0.009547713245820141,0.49503921640268667,0.08195182479814397,0.07609090870472084,0.010362855213477074,-0.009921567194626618,0.16390364959628795,7500.6,33.952908564657726,0.22541421907568476,0.0025995275584637925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,2,0.7840720773246321,0.010538957604523695,0.5009605357546636,0.03747470164906472,0.09156817708239448,0.018471516263980185,0.0019210715093271324,0.07494940329812946,9995.6,46.10097612849424,0.22226843535252475,0.004300510638648086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,3,0.7754920372023401,0.010890350832681955,0.4881452485686356,0.07535399317497835,0.06421053453306173,0.013921530380872045,-0.02370950286272867,0.1507079863499567,12493.6,74.70809862391097,0.2196428779107773,0.00525641328576701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,4,0.7821140097484481,0.01093753397764517,0.4824154240820907,0.04163771135874958,0.06449793754478628,0.005329008557634728,-0.0351691518358185,0.08327542271749917,14988.8,88.77330679883428,0.2185719296746685,0.004149570566478288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,5,0.787397515487555,0.009950863189183935,0.5068363747547675,0.021320617028235053,0.0745335424976998,0.014663392337009869,0.01367274950953493,0.0426412340564701,17491.8,100.8399722332366,0.21791761043186075,0.002933811495647701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,6,0.7850153673781801,0.006908167404907401,0.5123326437134095,0.018949671572689217,0.06845576362777062,0.00552960715975402,0.02466528742681893,0.03789934314537846,19993.8,109.36498525579394,0.21727275388620085,0.00347759412340041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,7,0.7842178149408428,0.0029377802303759137,0.4925358097784568,0.007195513515860661,0.061475707182142236,0.004324767506815667,-0.014928380443086326,0.014391027031721315,22505.8,113.86702771215214,0.2175491413710283,0.003211127103253429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,8,0.7864009949010644,0.00577051601625493,0.5120325424373284,0.04096381800243484,0.0658045366704181,0.006773140198298016,0.024065084874656903,0.08192763600486967,25000.8,125.0587861767418,0.21714543060447436,0.002102778733903751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,9,0.7853786339030202,0.004733993737160135,0.5166519902540105,0.03250642882994567,0.05714438086481164,0.008678127643578148,0.033303980508021094,0.06501285765989133,27500.6,121.14165262204385,0.21729844684526833,0.0019260660004750036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.0,10,0.7857914195828998,0.0028296261658258834,0.5343548254084997,0.021386979976590136,0.05727284980698202,0.008761525673135883,0.06870965081699933,0.0427739599531803,29995.8,123.96652774035405,0.21665350416652274,0.0011040080146763618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.01,0,0.78,0.012845232578665154,0.5702343780645667,0.03971296122678578,0.10486765834394426,0.02978595668269455,0.1404687561291335,0.07942592245357143,5000.0,0.0,0.2304,0.0044068129073061395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppdai_imb77,rf,least_risky,0.01,1,0.7762883814658401,0.004509279658110696,0.47940278814228393,0.06407066784447832,0.07659136967790742,0.009985344038794718,-0.041194423715432124,0.1281413356889566,7502.4,33.65709434874009,0.22546699069022252,0.002558069566252678,1.8,0.4472135954999579,0.8,0.4472135954999579,0.8,0.4472135954999579,0.8,0.4472135954999579,0.4,0.22360679774997896,0.5185310478491781,0.05643896125943295,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,2,0.787992382855083,0.008560121137968594,0.5325616509428724,0.04916764088862521,0.09188059759712904,0.004566951975420381,0.06512330188574482,0.09833528177725039,10001.4,59.70175876806317,0.22255446035498236,0.004602556754919308,1.8,0.4472135954999579,0.8,0.8366600265340756,0.8,0.8366600265340756,1.6,0.8944271909999159,0.5,0.5,0.5433468219117015,0.03668445661899548,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,3,0.7852482821227591,0.010160710078339687,0.4996388160310472,0.06265553868446908,0.0764480774493302,0.01472741071423026,-0.0007223679379056824,0.1253110773689381,12497.8,74.99133283253458,0.2198722396435842,0.005329689405647483,2.0,0.0,0.8,0.4472135954999579,0.8,0.4472135954999579,2.4,1.140175425099138,0.4,0.22360679774997896,0.5409837050498438,0.012787053388104009,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,4,0.7831482066443433,0.008337653892319627,0.5318656309614965,0.027038474278120592,0.0708317541518457,0.002867245402865067,0.06373126192299314,0.05407694855624122,14992.4,96.35507251826438,0.21860963193564556,0.004506704860462659,1.8,0.4472135954999579,0.4,0.5477225575051661,0.4,0.5477225575051661,2.8,0.8366600265340756,0.2,0.27386127875258304,0.577136649096275,0.044357636992113134,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,5,0.7829709680850554,0.008338790966459746,0.5025592653008591,0.03974406043062983,0.07435837956609392,0.013009523042314454,0.0051185306017184256,0.07948812086125966,17491.0,106.53637876331278,0.21793682957554159,0.003342361204683719,2.0,0.0,0.4,0.5477225575051662,0.4,0.5477225575051662,3.2,0.8366600265340756,0.2,0.2738612787525831,0.5250249561124777,0.06852612321934283,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,6,0.7827874947682805,0.011637587051420845,0.5401913975779156,0.06861625179232785,0.06657665918723292,0.014115645066642533,0.08038279515583116,0.13723250358465566,19989.2,117.5954931109183,0.21722079476394648,0.0037467850602620366,2.0,0.0,1.4,0.5477225575051661,1.4,0.5477225575051661,4.6,0.8944271909999159,0.7,0.27386127875258304,0.5255842762716253,0.04646807238571225,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,7,0.7822137354941909,0.004022730845529866,0.5179051350156967,0.034308706899833626,0.06455278222056829,0.007565203203095961,0.03581027003139331,0.06861741379966727,22504.6,119.72593703955688,0.21760331416391168,0.003501116342008752,1.8,0.4472135954999579,0.8,0.8366600265340756,0.8,0.8366600265340756,5.4,1.140175425099138,0.5,0.5,0.5616404885858295,0.03609297948449623,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,8,0.7871224671012367,0.0017419705104526814,0.5257399484223118,0.050845185898171344,0.06073393994857111,0.009717812617858963,0.05147989684462353,0.10169037179634262,24998.6,112.52466396306139,0.2170453108698453,0.002140181891036093,2.0,0.0,1.0,0.7071067811865476,1.0,0.7071067811865476,6.4,1.140175425099138,0.5,0.3535533905932738,0.5723102302455789,0.039876075054608315,0.51,0.0
ppdai_imb77,rf,least_risky,0.01,9,0.789282874141397,0.002736975625585879,0.5220443958551193,0.025635344866936267,0.06065276648450294,0.007945006935916507,0.04408879171023862,0.051270689733872526,27498.0,117.48191350161073,0.2171665695714678,0.0017877422875662895,2.0,0.0,0.8,0.4472135954999579,0.8,0.4472135954999579,7.2,1.4832396974191326,0.4,0.22360679774997896,0.5874156981616016,0.03631936319743572,0.51,0.0
