iteration,filtered_accuracy_mean,filtered_accuracy_std,oracle_accuracy_mean,oracle_accuracy_std,filtered_train_size_mean,filtered_train_size_std,oracle_train_size_mean,oracle_train_size_std,n_runs
0,0.8183999999999999,0.010229369482035509,0.8183999999999999,0.010229369482035509,5000.0,0.0,5000.0,0.0,5
1,0.8142479344956064,0.010244024419542322,0.8210666666666666,0.016852826996613307,5322.6,17.749366185867032,7500.0,0.0,5
2,0.8019581967156462,0.01065076956399224,0.8217000000000001,0.007054076835419334,5631.2,34.62600179056196,10000.0,0.0,5
3,0.7920220613631623,0.017100211287771856,0.8163199999999999,0.00816392062675773,5930.8,30.60326779937071,12500.0,0.0,5
4,0.7863105121365488,0.01587287603106231,0.8199333333333334,0.004859812524962036,6234.4,32.02873709655128,15000.0,0.0,5
5,0.7900570669348506,0.008337474495282824,0.8242285714285714,0.0030793585337845672,6534.2,45.757622315850284,17500.0,0.0,5
6,0.784472541100725,0.007754266156601555,0.8185499999999999,0.003230325061042591,6822.6,56.379428872595014,20000.0,0.0,5
7,0.7789047981975209,0.005024846155179292,0.8185333333333334,0.002068458005016895,7139.8,67.84216977662197,22500.0,0.0,5
8,0.7758923701885428,0.012114420389877596,0.81968,0.0042267718178298,7430.0,83.39544352061448,25000.0,0.0,5
9,0.7660902355258703,0.015958011352310154,0.8196000000000001,0.004103455508158694,7714.6,88.22834011812758,27500.0,0.0,5
10,0.7703755908798702,0.009864669940739219,0.8158333333333333,0.0041499665326628936,8008.8,92.38484724239143,30000.0,0.0,5
