iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std,parceling_accuracy_mean,parceling_accuracy_std,parceling_precision_mean,parceling_precision_std,parceling_recall_mean,parceling_recall_std,parceling_train_size_mean,parceling_train_size_std,parceling_kickout_mean,parceling_kickout_std,parceling_default_rate_mean,parceling_default_rate_std,fuzzy_augmentation_accuracy_mean,fuzzy_augmentation_accuracy_std,fuzzy_augmentation_precision_mean,fuzzy_augmentation_precision_std,fuzzy_augmentation_recall_mean,fuzzy_augmentation_recall_std,fuzzy_augmentation_train_size_mean,fuzzy_augmentation_train_size_std,fuzzy_augmentation_kickout_mean,fuzzy_augmentation_kickout_std,fuzzy_augmentation_default_rate_mean,fuzzy_augmentation_default_rate_std,simple_extrapolation_accuracy_mean,simple_extrapolation_accuracy_std,simple_extrapolation_precision_mean,simple_extrapolation_precision_std,simple_extrapolation_recall_mean,simple_extrapolation_recall_std,simple_extrapolation_train_size_mean,simple_extrapolation_train_size_std,simple_extrapolation_kickout_mean,simple_extrapolation_kickout_std,simple_extrapolation_default_rate_mean,simple_extrapolation_default_rate_std,shallow_self_learning_accuracy_mean,shallow_self_learning_accuracy_std,shallow_self_learning_precision_mean,shallow_self_learning_precision_std,shallow_self_learning_recall_mean,shallow_self_learning_recall_std,shallow_self_learning_train_size_mean,shallow_self_learning_train_size_std,shallow_self_learning_kickout_mean,shallow_self_learning_kickout_std,shallow_self_learning_default_rate_mean,shallow_self_learning_default_rate_std,twins_accuracy_mean,twins_accuracy_std,twins_precision_mean,twins_precision_std,twins_recall_mean,twins_recall_std,twins_train_size_mean,twins_train_size_std,twins_kickout_mean,twins_kickout_std,twins_default_rate_mean,twins_default_rate_std
0,5,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719,0.8183999999999999,0.010229369482035509,0.6341978977114602,0.05622707745043992,0.372561371217322,0.028340853978738586,5000.0,0.0,0.2683957954229203,0.11245415490087989,0.22011999999999995,0.005713982849116719
1,5,0.8229750872298721,0.008668404934744307,0.6567256606041421,0.04900768486934564,0.28677914464965026,0.017860620404778618,7177.6,17.408044117591157,0.3134513212082841,0.09801536973869132,0.20231917871318322,0.004056016150595943,0.8210666666666666,0.016852826996613307,0.6767605669594193,0.058273143471404845,0.3705936929664211,0.032146675177655806,7500.0,0.0,0.35352113391883855,0.11654628694280968,0.22258666666666665,0.0035373310717419526,0.8028000000000001,0.0072956608108290305,0.49342221017439236,0.014978202865065685,0.17656715521602123,0.03029179809669115,7500.0,0.0,-0.013155579651215327,0.029956405730131388,0.20256,0.00372799618502427,0.8261333333333333,0.01652688046116922,0.6864869068436954,0.05041923300247123,0.38854073211537987,0.05030902321364499,7500.0,0.0,0.3729738136873909,0.10083846600494245,0.22408,0.0031468926472527393,0.8371999999999999,0.013839717402381347,0.7503699486897044,0.041732038488366624,0.4483441625164167,0.04945802895424242,7500.0,0.0,0.5007398973794089,0.08346407697673328,0.23661333333333334,0.0034031096890278912,0.8298473026316084,0.009691405191287437,0.6704261238019402,0.03423557195350253,0.28599433694434206,0.022896205835941177,7232.4,13.77824371971987,0.34085224760388055,0.06847114390700508,0.20526671737225283,0.004035969928284903,0.8238666666666665,0.010851727973000424,0.6728439246897638,0.04213379021501456,0.36822804419131433,0.03050826140784026,7500.0,0.0,0.3456878493795278,0.0842675804300291,0.22160000000000002,0.004848642421681896
2,5,0.8253251171038565,0.005722615303962811,0.6427247436719554,0.022727858719936423,0.23958916537154917,0.013660477101372555,9375.2,31.587339235839412,0.28544948734391073,0.04545571743987289,0.19197155939372004,0.0025576482000187924,0.8217000000000001,0.007054076835419334,0.6934730492163017,0.021986781027370863,0.3779153622219583,0.02336694536276223,10000.0,0.0,0.3869460984326034,0.043973562054741705,0.22155999999999998,0.00212941306467299,0.7928,0.006584831053261724,0.5490033848436904,0.03691429145781861,0.23796381391471808,0.0201653929632739,10000.0,0.0,0.0980067696873808,0.07382858291563721,0.20566,0.0029472699231661847,0.8189,0.007151223671512449,0.6865135439609124,0.017666289415421553,0.39702190270103366,0.009921815325018266,10000.0,0.0,0.37302708792182476,0.03533257883084311,0.22416,0.002628003044138271,0.8384,0.006952697318307487,0.7955047865612088,0.01800447570839214,0.4807250428969166,0.02463470420509336,10000.0,0.0,0.5910095731224176,0.03600895141678428,0.24450000000000002,0.003404702630186666,0.8300098310405565,0.010389996261952568,0.6643694122466781,0.02940235691991358,0.2648825871068506,0.016230787155242385,9493.2,26.54354912215019,0.32873882449335645,0.05880471383982715,0.19714960466674777,0.0023475289198078082,0.8195,0.004086563348340494,0.6855833607678509,0.021585522553952775,0.3809540994772975,0.02033691974315413,10000.0,0.0,0.3711667215357017,0.04317104510790552,0.22252,0.003151761412289954
3,5,0.82966269508784,0.006562318881426133,0.629792787574698,0.04721312627307315,0.2129074011565284,0.011175375972338218,11569.2,29.06819567843866,0.25958557514939623,0.09442625254614635,0.18611511125833646,0.0006002310922978378,0.8163199999999999,0.00816392062675773,0.6828225573215202,0.03516710275409614,0.38061758930460826,0.016717697083494045,12500.0,0.0,0.3656451146430406,0.07033420550819226,0.22220800000000002,0.0012389414836867767,0.8028000000000001,0.007384307685897182,0.5508953240237581,0.03317846267134455,0.223137683241188,0.06238161315318855,12500.0,0.0,0.10179064804751618,0.06635692534268907,0.20473600000000003,0.003263529377836215,0.8224,0.0027942798714516936,0.6865166620853895,0.03198403143350767,0.3951179346743675,0.014047691738123692,12500.0,0.0,0.37303332417077906,0.06396806286701535,0.22494399999999998,0.0014070906154189228,0.8413600000000001,0.0072469579824916905,0.8183518551961996,0.030985975844795233,0.4814374454889029,0.023622180424531982,12500.0,0.0,0.636703710392399,0.06197195168959052,0.250272,0.0032102236682200226,0.8322387996965599,0.004552999436104027,0.6695517705203275,0.05338022001214774,0.23814463915126177,0.010936751679087206,11747.0,23.323807579381203,0.33910354104065504,0.10676044002429554,0.19244072256085273,0.0004606650225661506,0.8204800000000001,0.0052787877396235725,0.6882245434967087,0.03424540163836497,0.3713979316206063,0.021189432652772143,12500.0,0.0,0.3764490869934173,0.06849080327672998,0.22332800000000003,0.0023767406253102207
4,5,0.8295242328496872,0.0033412909303407097,0.6339164941338854,0.04460154021021003,0.1860960700244844,0.005921200296289458,13759.8,32.98120676991671,0.2678329882677709,0.08920308042042002,0.18165863358786893,0.0013052402523338028,0.8199333333333334,0.004859812524962036,0.6772396966342049,0.010949885107166794,0.38232623576247704,0.01674815483349406,15000.0,0.0,0.3544793932684098,0.021899770214333533,0.22178666666666666,0.0011511540103546366,0.7947333333333334,0.003714236873915768,0.5415509295204177,0.03732082426183006,0.19004043708369484,0.045765796214539474,15000.0,0.0,0.08310185904083553,0.0746416485236601,0.2034133333333333,0.0023571734485749365,0.8231999999999999,0.007200617257491808,0.6895677356664369,0.017772473129658906,0.40038476007630575,0.024391142623162707,15000.0,0.0,0.37913547133287373,0.03554494625931776,0.22483999999999998,0.0023741571603881247,0.8455999999999999,0.004149431018558771,0.837561956546445,0.011869042603727165,0.49738511986692957,0.02072934222808687,15000.0,0.0,0.6751239130928901,0.023738085207454258,0.2543333333333333,0.002963481436119044,0.8316739254604236,0.007458249191633662,0.6738203778964832,0.03159899733368142,0.22018426181385836,0.01242713071905752,14005.8,27.08800472533922,0.3476407557929663,0.06319799466736283,0.18933586800245,0.0013619578177667456,0.8259333333333334,0.011542000596853976,0.7009647387734137,0.030740678283382745,0.38311504113250966,0.03563059735436598,15000.0,0.0,0.4019294775468275,0.06148135656676549,0.22363999999999998,0.0018429927352602987
5,5,0.8314700881853787,0.0019806245388446684,0.6354803563543517,0.038354823866681216,0.17197920897494162,0.011411632600206138,15954.4,44.991554763088594,0.27096071270870337,0.07670964773336246,0.17823292091706847,0.0013773747877761995,0.8242857142857142,0.003050593786294668,0.6623786059739426,0.008205991774849066,0.3897825717041553,0.015693102826949145,17500.0,0.0,0.3247572119478853,0.01641198354969814,0.22155428571428573,0.0016276789534518759,0.8007428571428571,0.003616741119644963,0.5364940949025241,0.01883900093022594,0.23238225680948058,0.022154706905409553,17500.0,0.0,0.07298818980504825,0.03767800186045188,0.20392000000000002,0.002451581746796239,0.8222285714285714,0.008721355446048884,0.6851095788207627,0.03943538099226534,0.40063206158947795,0.008629421535199414,17500.0,0.0,0.37021915764152546,0.07887076198453062,0.22473142857142858,0.0027526966370288964,0.8513142857142857,0.003982000317756412,0.8487464251328127,0.013608884714290474,0.5211513329149711,0.02928402068341955,17500.0,0.0,0.6974928502656254,0.02721776942858093,0.2574057142857143,0.004012649386881537,0.834833894267833,0.004732841587479036,0.6797573141295399,0.026489060055691235,0.21135538456944505,0.011009855360316007,16265.8,45.56928790314811,0.35951462825907976,0.05297812011138248,0.1866133237775386,0.0009918672192213579,0.8256571428571429,0.003669621567543397,0.7046258585135817,0.026678815295975673,0.3909711934797253,0.023882234276102674,17500.0,0.0,0.40925171702716356,0.05335763059195131,0.22420571428571429,0.0030147609645657454
6,5,0.8344388009314055,0.003944306589075496,0.6214711641438976,0.04047930339918045,0.15536851459658696,0.014712019952110798,18156.0,54.46466744596904,0.2429423282877951,0.08095860679836088,0.1756761986225633,0.0008758746253231001,0.8185499999999999,0.003230325061042591,0.6737143202165189,0.011077323540047678,0.3714087016687443,0.01558172625019627,20000.0,0.0,0.34742864043303784,0.02215464708009536,0.22093,0.001440347180370069,0.8019999999999999,0.005894913061275775,0.5477119631523936,0.030172167976268743,0.23811068442928374,0.02127080179615772,20000.0,0.0,0.09542392630478706,0.06034433595253748,0.20398,0.0012035779991342486,0.8208500000000001,0.003572814016989968,0.6722358602625993,0.023497211413306122,0.38610431168737114,0.020093906830529393,20000.0,0.0,0.34447172052519864,0.04699442282661227,0.2245,0.0029634439424426483,0.8493,0.004712748667179251,0.8478794385336353,0.012776981287241375,0.5117284440719072,0.026773230009967657,20000.0,0.0,0.6957588770672707,0.02555396257448275,0.25991,0.004222487418572137,0.8333114486741234,0.003058245248252324,0.6719990909072509,0.028913998177362343,0.19268299538349257,0.008379525037316569,18529.6,51.693713350851475,0.3439981818145017,0.05782799635472466,0.18452619859152303,0.0004663501077840159,0.8250500000000001,0.002456623699307665,0.7086740393363511,0.01881459002229503,0.3786393813669593,0.02608067937805489,20000.0,0.0,0.41734807867270235,0.03762918004459013,0.22449,0.002938094620668293
7,5,0.8365205107346458,0.004746317464779228,0.6111250770406695,0.025314004488416638,0.14430115156077744,0.012771344425651998,20335.8,59.27697698094936,0.22225015408133902,0.05062800897683327,0.17361372230808308,0.0005833689833657696,0.8185333333333334,0.002068458005016895,0.6686141757571292,0.012587677027170067,0.3630968788573461,0.009218408605194153,22500.0,0.0,0.33722835151425834,0.025175354054340113,0.22088888888888886,0.0012939364763921994,0.7986666666666666,0.007325922181027394,0.5115776393150421,0.030293008960318574,0.18861845538712402,0.0215701269302921,22500.0,0.0,0.02315527863008422,0.06058601792063716,0.2014133333333333,0.0017442165456229052,0.8257777777777777,0.005989290854372628,0.6951546029917219,0.032091535935388535,0.4005038847277683,0.021839499565563907,22500.0,0.0,0.390309205983444,0.06418307187077708,0.22481777777777778,0.003194266468472052,0.8562666666666667,0.007968332384360908,0.8792802501406232,0.006374609898307026,0.5266937922429296,0.03145993853702537,22500.0,0.0,0.7585605002812461,0.012749219796614067,0.2627911111111111,0.004387582928061557,0.8364382055122423,0.004775130235527495,0.6753814057350356,0.024791999812924112,0.18330486125914597,0.010784287306936213,20778.0,53.44529913846493,0.35076281147007127,0.049583999625848175,0.18283746050007477,0.0002711875041548147,0.8231111111111111,0.009036551292349279,0.7167329136544691,0.023040852973157513,0.3751214276949556,0.029711852306909436,22500.0,0.0,0.43346582730893823,0.046081705946315055,0.22486222222222224,0.002800296280620899
8,5,0.8339969126277851,0.005602586166834716,0.6266363091583118,0.027940403730878825,0.1234054677433076,0.012072569008485093,22529.0,58.40890343089827,0.2532726183166236,0.055880807461757664,0.1726918115942272,0.0005209366972637181,0.81968,0.0042267718178298,0.6841957881303629,0.017010286420214855,0.3628483205041634,0.015701032855640486,25000.0,0.0,0.36839157626072566,0.03402057284042975,0.22136799999999995,0.0007067220104114482,0.7964,0.003064637009500477,0.5060814944399136,0.01794335118422275,0.21936136197127434,0.014033787202375983,25000.0,0.0,0.012162988879827117,0.035886702368445524,0.20348800000000003,0.001524288686568264,0.81892,0.0055333172690529946,0.6797587921770554,0.029649565528406918,0.3923109326709929,0.024039932073948552,25000.0,0.0,0.3595175843541109,0.05929913105681385,0.22553600000000001,0.0037271415320591175,0.8568000000000001,0.005201538234022704,0.877149680984077,0.014892258101330637,0.5337065490126323,0.025243079528670963,25000.0,0.0,0.754299361968154,0.029784516202661274,0.265064,0.004410794032824468,0.8382485505304608,0.002501281928631441,0.6755163881478017,0.02471867739789348,0.16063987284688563,0.01690951050754279,23038.6,57.15452737972733,0.35103277629560325,0.04943735479578703,0.1821982610138355,0.0003162043688368476,0.82624,0.003924079509897822,0.7132454617291456,0.012942691380627093,0.3913728894150751,0.025233888940933206,25000.0,0.0,0.4264909234582913,0.02588538276125423,0.22582400000000002,0.0033791454541052222
9,5,0.8384406345893052,0.0020563003484713118,0.6183411058133708,0.0392238487328297,0.11676165083968512,0.009122828055650213,24731.8,55.9299561952269,0.2366822116267417,0.0784476974656594,0.1719633995839117,0.0007591011827036497,0.8196000000000001,0.004103455508158694,0.6723925471666912,0.02065897540193161,0.3656830188478021,0.01120342298742449,27500.0,0.0,0.3447850943333822,0.04131795080386324,0.2215272727272727,0.0005239393063077233,0.7968727272727273,0.005397765071637989,0.4989304305577983,0.024991416830889585,0.19915725097542974,0.03528427128207484,27500.0,0.0,-0.0021391388844033245,0.04998283366177915,0.2024072727272727,0.00103732650645384,0.8209454545454544,0.00702053658093862,0.686098775289218,0.02506816038118108,0.39489680773431135,0.018929513216605416,27500.0,0.0,0.3721975505784361,0.05013632076236217,0.22602181818181818,0.004128104041228447,0.8582909090909091,0.003588042584303704,0.8815343325356931,0.01672843303289932,0.5418437794000157,0.02959554611990799,27500.0,0.0,0.763068665071386,0.03345686606579862,0.26692363636363636,0.0040109997517158375,0.835595174517475,0.004175955635502478,0.6730380277434814,0.03680822516136589,0.16253447796210227,0.012554402302248344,25313.8,58.19415778237538,0.3460760554869628,0.07361645032273174,0.18189213624680764,0.0007275464101648133,0.8266181818181819,0.003917496248818139,0.7142013907137754,0.02348667736195608,0.3863864568682386,0.022619400935279182,27500.0,0.0,0.42840278142755056,0.0469733547239122,0.22630545454545453,0.0032384140593560164
