iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std
0,5,0.8114000000000001,0.010669582934679272,0.6060533318957004,0.056772587675322145,0.3607036619331421,0.024248397181102107,5000.0,0.0,-0.6835816356716147,0.012001346886810173,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010669582934679272,0.6060533318957004,0.056772587675322145,0.3607036619331421,0.024248397181102107,5000.0,0.0,-0.6835816356716147,0.012001346886810173,0.22011999999999995,0.005713982849116719
1,5,0.8152534353233583,0.00672144485874805,0.5979541086825855,0.05709337304948203,0.28962931154603233,0.013932773309154985,7170.6,7.683749084919419,-0.678335094694572,0.015398267802405517,0.2034116916919682,0.00453231515733846,0.8134666666666666,0.013580378001611996,0.6347699536231433,0.037304169263467746,0.37558225294121544,0.026550775603670893,7500.0,0.0,-0.6810588249774032,0.02468203543292964,0.22258666666666665,0.0035373310717419526
2,5,0.814744847667253,0.0036159014099355364,0.603846646509371,0.020085269982848566,0.2550397541395818,0.016705795743853558,9336.6,37.02755730533679,-0.6689957999287256,0.008853271911709313,0.1928527925025752,0.0031404396996165362,0.817,0.006292853089020906,0.6665871908695467,0.014085273275345676,0.37978937433229076,0.02755746424378641,10000.0,0.0,-0.6782331945544265,0.014631068765085579,0.22155999999999998,0.00212941306467299
3,5,0.8264424642989745,0.0015620181548101069,0.617361374257926,0.04612692387021002,0.24296268714718333,0.005309442830503047,11509.0,31.445190411253673,-0.6873934274374438,0.01028879637306803,0.18707332213405994,0.0010325938325301235,0.8093600000000001,0.007498693219488316,0.6466216383462714,0.023514520311235312,0.38103284893962364,0.017396445856939224,12500.0,0.0,-0.6700597937854584,0.009490788006582956,0.22220800000000002,0.0012389414836867767
4,5,0.8281970495492947,0.008412977467804443,0.5982946944521432,0.026232266425454613,0.2082334119488054,0.013747830305801477,13676.6,33.0732520324204,-0.687897856904568,0.01857900253967025,0.18254553306631421,0.0011219890342587615,0.8176,0.006187442480091794,0.6617470014482776,0.020313357033096325,0.3876636003189251,0.02365855778044748,15000.0,0.0,-0.6824631730779599,0.014511969553165263,0.22178666666666666,0.0011511540103546366
5,5,0.8298485097164597,0.0051809529391280374,0.6037320729408151,0.04213001327381212,0.21292798974796706,0.017177508703663996,15854.2,42.72423200011909,-0.6913716116762704,0.014420193559800296,0.17939813984773825,0.00138545209789642,0.8197714285714287,0.004664761515876227,0.640831370566805,0.013560128580009642,0.3883959923255759,0.01817255737125486,17500.0,0.0,-0.6940310622452499,0.00506979169792446,0.22155428571428573,0.0016276789534518759
6,5,0.8337320038809596,0.0029417136128315367,0.597004329004329,0.034326038253639495,0.19545778078033865,0.008554627387702808,18029.2,54.86127960592972,-0.697077794175988,0.0035574885026708673,0.17656918905913804,0.0011611642890899838,0.81595,0.003264965543462888,0.6575142105854338,0.009909465724796713,0.3753842886543231,0.016618187536270562,20000.0,0.0,-0.678440269452031,0.00844698228844477,0.22093,0.001440347180370069
7,5,0.8348470612837868,0.006073511127431153,0.5751973552689054,0.0247487168839802,0.17522550289958683,0.011852343970687525,20184.4,81.276318814277,-0.6986244712748332,0.012519944626425302,0.17432234925202342,0.0007712987544828873,0.8171111111111111,0.0032141661745359452,0.6532176185580216,0.014105158176334355,0.37698114689869866,0.009213345943008629,22500.0,0.0,-0.6824974069029833,0.006157448715256966,0.22088888888888886,0.0012939364763921994
8,5,0.8323196533615093,0.004980583779349327,0.5764401648402016,0.027487563331623218,0.16618122106460914,0.017463711514765824,22354.2,93.97531590795532,-0.6917510595428421,0.00881077373720512,0.17324506442507154,0.0005434408784703138,0.8150000000000001,0.006259712453459795,0.6562858445970123,0.021517422186276922,0.3663503393346551,0.017738533117657898,25000.0,0.0,-0.6753586819258782,0.00878103011166568,0.22136799999999995,0.0007067220104114482
9,5,0.8381455898117093,0.0026549594924882413,0.5855273570971419,0.008563358573378737,0.16169135940708723,0.014408482867499043,24514.4,107.71740806387797,-0.7011389889085271,0.006583761475077575,0.1721479505902815,0.0009356781409979017,0.8160000000000001,0.0034783866308561806,0.6473056181682579,0.014672853396998937,0.3761047223920233,0.008002810575187574,27500.0,0.0,-0.6819324829495014,0.00709944706194094,0.2215272727272727,0.0005239393063077233
10,5,0.8366588750026462,0.002507712399183284,0.5555724452228211,0.041115537254967804,0.15350221322541874,0.008962623606558095,26678.6,111.59498196603646,-0.7008339005377344,0.00601869582661878,0.1706718148180752,0.0010860829239851602,0.8118666666666666,0.002209575122556879,0.6537888682926283,0.01051539213316852,0.369628365013248,0.008807402117287793,30000.0,0.0,-0.6704301216568955,0.005308344548452086,0.2212,0.0
