iteration,filtered_accuracy_mean,filtered_accuracy_std,oracle_accuracy_mean,oracle_accuracy_std,filtered_train_size_mean,filtered_train_size_std,oracle_train_size_mean,oracle_train_size_std,n_runs
0,0.7783333333333333,0.0038020462326957094,0.7783333333333333,0.0038020462326957094,60000.0,0.0,60000.0,0.0,5
1,0.7802118989764606,0.0035651837119910768,0.7784637911048746,0.0023699185126090897,60610.8,61.15030662228931,81952.0,0.0,5
2,0.7774864813318669,0.0030099896023281633,0.7794908810933062,0.0014431771913942272,61221.4,101.81276933666032,103904.0,0.0,5
3,0.7743911768948173,0.002657891319095961,0.7811139361194979,0.0013157630093427284,61874.6,103.91650494507597,125856.0,0.0,5
4,0.7706476224681,0.003064458855836116,0.7802922670996549,0.0015253033983306178,62569.4,138.9756813259068,147808.0,0.0,5
5,0.7672521945150201,0.0038072934197140493,0.7807139491046182,0.0017316363257125452,63282.6,180.76681111310228,169760.0,0.0,5
6,0.7675394472309972,0.003191716213988652,0.7802623686200871,0.001374572098114319,63988.2,204.8906049578653,191712.0,0.0,5
7,0.764806497789718,0.0009996686179285265,0.780329019727143,0.001092148029042871,64718.8,244.86682094559077,213664.0,0.0,5
8,0.7624362290594866,0.0019230569101416322,0.7789194465665055,0.0006833431648443829,65475.2,273.44644813930205,235616.0,0.0,5
9,0.7600768534165686,0.003562528250433648,0.7790581201226849,0.0017423721638556947,66228.0,311.3473944005313,257568.0,0.0,5
10,0.7576774806185389,0.002800637588165569,0.7788673440183171,0.0013658322197583075,66992.2,366.6493692889707,279520.0,0.0,5
