iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std,parceling_accuracy_mean,parceling_accuracy_std,parceling_precision_mean,parceling_precision_std,parceling_recall_mean,parceling_recall_std,parceling_train_size_mean,parceling_train_size_std,parceling_kickout_mean,parceling_kickout_std,parceling_default_rate_mean,parceling_default_rate_std,fuzzy_augmentation_accuracy_mean,fuzzy_augmentation_accuracy_std,fuzzy_augmentation_precision_mean,fuzzy_augmentation_precision_std,fuzzy_augmentation_recall_mean,fuzzy_augmentation_recall_std,fuzzy_augmentation_train_size_mean,fuzzy_augmentation_train_size_std,fuzzy_augmentation_kickout_mean,fuzzy_augmentation_kickout_std,fuzzy_augmentation_default_rate_mean,fuzzy_augmentation_default_rate_std,simple_extrapolation_accuracy_mean,simple_extrapolation_accuracy_std,simple_extrapolation_precision_mean,simple_extrapolation_precision_std,simple_extrapolation_recall_mean,simple_extrapolation_recall_std,simple_extrapolation_train_size_mean,simple_extrapolation_train_size_std,simple_extrapolation_kickout_mean,simple_extrapolation_kickout_std,simple_extrapolation_default_rate_mean,simple_extrapolation_default_rate_std,shallow_self_learning_accuracy_mean,shallow_self_learning_accuracy_std,shallow_self_learning_precision_mean,shallow_self_learning_precision_std,shallow_self_learning_recall_mean,shallow_self_learning_recall_std,shallow_self_learning_train_size_mean,shallow_self_learning_train_size_std,shallow_self_learning_kickout_mean,shallow_self_learning_kickout_std,shallow_self_learning_default_rate_mean,shallow_self_learning_default_rate_std,twins_accuracy_mean,twins_accuracy_std,twins_precision_mean,twins_precision_std,twins_recall_mean,twins_recall_std,twins_train_size_mean,twins_train_size_std,twins_kickout_mean,twins_kickout_std,twins_default_rate_mean,twins_default_rate_std
0,5,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802,0.7783333333333333,0.0038020462326957094,0.5498069203927795,0.01634340322196386,0.06958523796776397,0.008126629295443468,60000.0,0.0,0.09961384078555902,0.03268680644392775,0.22374666666666668,0.0016902793983375802
1,5,0.7804205606822958,0.002355563736350822,0.5598235800213477,0.03350993696230554,0.05102480437805031,0.0043306935762151165,81341.0,61.44591117397479,0.11964716004269531,0.06701987392461106,0.2209715329491016,0.0012404552471615758,0.7784759929229457,0.0023910582566366145,0.5782987198221186,0.030782302760426195,0.0675597796614046,0.003483406704398276,81952.0,0.0,0.15659743964423706,0.061564605520852425,0.22342590784849667,0.0013916446217893139,0.7778903056555427,0.001667948809195956,0.5517027578831082,0.023862337579733203,0.05310735380937741,0.002931189022766336,81952.0,0.0,0.10340551576621629,0.04772467515946644,0.22258883248730962,0.0013505344018109478,0.7785736074675127,0.0015046380437034965,0.564658276435874,0.02752965874463592,0.06684022905382495,0.003992590413195347,81952.0,0.0,0.1293165528717479,0.05505931748927182,0.22352108551347127,0.001480995059619136,0.7811115856262584,0.0022089672142073854,0.6147450868374423,0.012609048152625455,0.10873731683160826,0.006640482312705068,81952.0,0.0,0.2294901736748846,0.025218096305250938,0.22677909019914094,0.0016475316923145436,0.7806641827801399,0.0017256327763364306,0.5766670528023585,0.01707883333827505,0.06032382270403651,0.0032785974708392745,81443.0,51.96922166051749,0.15333410560471705,0.03415766667655012,0.22191032705684238,0.0012843295656072796,0.778207552925386,0.002027338590141236,0.5456021109854057,0.025389807879470407,0.051369383277126646,0.005877214586097427,81952.0,0.0,0.09120422197081127,0.05077961575894079,0.22234234673955483,0.0014217308934832906
2,5,0.7807579408321149,0.001139585323956013,0.5800459179564582,0.011732680033499832,0.04233346371295119,0.002089459965079056,102738.2,117.61190415940045,0.16009183591291623,0.02346536006699961,0.21950193382606714,0.0004663888976393561,0.7794908810933062,0.0014431771913942272,0.5675130353039772,0.009946509531853465,0.06427087507375213,0.0027922960590410603,103904.0,0.0,0.13502607060795435,0.019893019063706923,0.22320411148752695,0.0007171055352922207,0.7772484481016313,0.0016783083812179265,0.5434384150542475,0.02407010791124332,0.044177878175857596,0.005860786382285684,103904.0,0.0,0.08687683010849498,0.04814021582248661,0.22197990452725597,0.0006134397343779368,0.7786824503151918,0.0029647148592364158,0.5703725294910706,0.028060185430245656,0.06535997314885514,0.008780098306923698,103904.0,0.0,0.1407450589821412,0.05612037086049128,0.22332922697874963,0.0009365437001764722,0.7834752899282998,0.0020349158765759854,0.6453521430636855,0.008221439371219089,0.14198307509982316,0.010141315214219107,103904.0,0.0,0.29070428612737115,0.016442878742438147,0.2299334000615953,0.0013051445003453746,0.7814058057531484,0.0025621298687552307,0.5896681093174425,0.00875610872538285,0.0536647487372797,0.0024455432339188453,102887.0,97.96938297243685,0.17933621863488516,0.01751221745076566,0.2208504826660763,0.000625455973374665,0.7779510129445166,0.0029209968515600004,0.5358685686947329,0.016835259522815747,0.042234743438747675,0.006295983821797979,103904.0,0.0,0.07173713738946569,0.033670519045631515,0.221589159223899,0.000708047959818731
3,5,0.7825640231025535,0.0023930331534448212,0.5770357859642699,0.020728708703325157,0.034619945046936614,0.0024457802782879255,124158.4,109.23662389510214,0.15407157192853965,0.04145741740665033,0.2188901175998294,0.0006103598052766155,0.7811139361194979,0.0013157630093427284,0.5886572615869584,0.016468044599792876,0.06640083865462917,0.0019234233121783867,125856.0,0.0,0.17731452317391677,0.03293608919958575,0.22347285786931095,0.0008428857762366492,0.7802717304942,0.0023258266581374413,0.533640365505643,0.027326675604508254,0.04308816082363974,0.002272474801600132,125856.0,0.0,0.06728073101128593,0.05465335120901654,0.22196160691584033,0.0008221960566469708,0.7801366597807087,0.0019283774269831244,0.5661660097264191,0.007104127998782162,0.06756124080615061,0.0053296646006300834,125856.0,0.0,0.13233201945283815,0.01420825599756432,0.2235491355199593,0.0010667348500318769,0.7849356427776895,0.0021996674079728146,0.6627157040325918,0.007008001835604354,0.1714444310707159,0.005704330798582415,125856.0,0.0,0.32543140806518367,0.01401600367120871,0.23336193745232645,0.0014248547374640177,0.782826072187827,0.0006390554984740591,0.623981462590166,0.009098279680028035,0.0530109816456882,0.00341293317791088,124326.4,111.76690028805487,0.24796292518033186,0.018196559360056062,0.22043148325422757,0.0007503953828729583,0.7787303352931829,0.001645164291021486,0.5161373518709393,0.02219705258055502,0.03856799235148842,0.004840249970574909,125856.0,0.0,0.032274703741878734,0.044394105161110003,0.22151983218916857,0.0008992861977373439
4,5,0.7844838385007898,0.002088295315302938,0.5635509452661626,0.022807485954446507,0.032237362052328536,0.0024132357704007824,145615.8,130.7308685812192,0.12710189053232512,0.04561497190889301,0.2182786837847555,0.00045602705060861427,0.7802855016575333,0.0015365747450460322,0.5730677801151827,0.02044014265760622,0.06912195855334355,0.0037764368473680223,147808.0,0.0,0.14613556023036542,0.040880285315212386,0.22340468716172332,0.0005891066829323008,0.7794262905080848,0.0022410469585434412,0.5195211090349839,0.02218456524894843,0.041964300060095626,0.003252196301046133,147808.0,0.0,0.039042218069967806,0.04436913049789687,0.2217349534531284,0.0005933862868996258,0.7822880725255397,0.001357141618902057,0.557219370532636,0.008073006391351306,0.0676124351511724,0.00858871692609784,147808.0,0.0,0.11443874106527196,0.016146012782702605,0.22341145269538862,0.0009080949196559,0.7886881807726135,0.002292117413204484,0.6706576558479505,0.010055402612885572,0.19326513195642342,0.007530737862150054,147808.0,0.0,0.341315311695901,0.02011080522577121,0.23626461355271705,0.0013761660921176593,0.7846186499363355,0.0017302852165907746,0.6194332242933138,0.02597535999482948,0.049995879060091085,0.004552785759855091,145766.4,155.914848555229,0.2388664485866278,0.051950719989658965,0.21983965610393263,0.0005700133163120828,0.7797375008456802,0.0022396168202178345,0.5294414127868953,0.014693767683076358,0.03792596841569824,0.004160192683887023,147808.0,0.0,0.05888282557379051,0.029387535366152684,0.2212302446416973,0.000620759005500316
5,5,0.7842937087282272,0.001767504665866838,0.5922326502825617,0.007686297364923123,0.028394485739684967,0.0018925700364684165,167055.2,148.46871724373455,0.1844653005651233,0.01537259472984626,0.21781316913337329,0.0004779655910159949,0.7807139491046182,0.0017316363257125452,0.5799703110786742,0.016578528625879902,0.06679147703596976,0.0036801217517189746,169760.0,0.0,0.15994062215734856,0.033157057251759804,0.2233824222431668,0.0005563811102180446,0.7793649858623939,0.001820207244773704,0.5130868862911496,0.019091385506467492,0.03750048768179244,0.0015261981151198337,169760.0,0.0,0.026173772582299394,0.038182771012934956,0.22161993402450517,0.0005492353298810886,0.7806786050895381,0.000992468502504637,0.5696170688026768,0.01575784337162739,0.06633621104645478,0.00677998076232479,169760.0,0.0,0.13923413760535358,0.03151568674325474,0.2233706409048068,0.0008467955271066096,0.7904571159283694,0.0009161079621051151,0.6944792362155189,0.007233436690725702,0.21552794828826563,0.009873180408317484,169760.0,0.0,0.38895847243103787,0.014466873381451403,0.23903982092365697,0.0015991429904137174,0.7855816563781604,0.0015272646618321355,0.6182052200493416,0.010815342274847461,0.044087174368779944,0.001989741897856495,167172.0,186.98983929615,0.23641044009868314,0.02163068454969497,0.21941732666638908,0.0005697217985288765,0.7795181432610745,0.0011000578260654725,0.5190296873084066,0.02163718176201427,0.033537648462168244,0.0037336309570353133,169760.0,0.0,0.03805937461681314,0.043274363524028546,0.2211274740810556,0.000561434855618268
6,5,0.7831903245700765,0.0021101845304480186,0.6042764570477253,0.03994655263675795,0.025584127500729498,0.0026627036051149067,188531.6,157.9146604973712,0.20855291409545046,0.07989310527351588,0.2176028680559198,0.0004464296434129429,0.7802623686200871,0.001374572098114319,0.5847269066169785,0.015215590768485656,0.06720316656904635,0.0031228051289723707,191712.0,0.0,0.16945381323395672,0.030431181536971285,0.22344141211817722,0.0004833731911930985,0.7781811543176069,0.0024306242301626933,0.5045480239038005,0.019718463183204325,0.035457864856012815,0.003327847267552586,191712.0,0.0,0.00909604780760107,0.03943692636640866,0.2215990652645635,0.0004732110106649882,0.7799911326708917,0.001233180081695241,0.5691673380226481,0.010955636287789667,0.06499114760193724,0.008890214237744156,191712.0,0.0,0.13833467604529592,0.02191127257557934,0.2234038557836755,0.0006279647154662945,0.7916073338027803,0.0029846074800492267,0.710606803554219,0.009222483836148663,0.23392853006457162,0.010925781789924083,191712.0,0.0,0.4212136071084379,0.01844496767229731,0.24176368719746283,0.0016031213455179561,0.7859322414712073,0.0006283150576878711,0.6329180107774524,0.01784686304761909,0.04438878117576478,0.002906083040183516,188610.8,204.1777656847092,0.2658360215549048,0.03569372609523817,0.21923662399474697,0.000546970860763135,0.7788435959627572,0.0013995617282275895,0.5116256012524656,0.018494617717960817,0.03266635077249984,0.003511979574545091,191712.0,0.0,0.023251202504931102,0.03698923543592161,0.22114421632448672,0.00041119734705642236
7,5,0.7831769507779036,0.001277394242383767,0.6010864015357645,0.019678785629961892,0.023125713323646928,0.0024175766073217175,210044.0,166.74531477675768,0.202172803071529,0.039357571259923736,0.2177049179552586,0.000253687289863647,0.780329019727143,0.001092148029042871,0.5822052622309901,0.01037677645820987,0.06617229333051891,0.0018171095807493441,213664.0,0.0,0.1644105244619803,0.02075355291641973,0.22371199640557138,0.00032290845802272744,0.7784428895701214,0.0013237175282522589,0.5149062698489174,0.012252923488412101,0.03521629848819867,0.002667412772880971,213664.0,0.0,0.029812539697834657,0.02450584697682421,0.2218230492736259,0.00027925971025244466,0.7802166943579903,0.001724203563485864,0.5689337930211648,0.01115348329836616,0.06406945376941467,0.010281091709314029,213664.0,0.0,0.1378675860423294,0.022306966596732317,0.22364553691777744,0.0005826858805408835,0.793798703578031,0.0012211348553198037,0.720396697006449,0.007346518715613625,0.25107255272317264,0.010224491711805386,213664.0,0.0,0.4407933940128981,0.014693037431227256,0.24429571663920924,0.0016247299929454714,0.7839952456571113,0.0006098821520802658,0.644530910546983,0.015368997535696888,0.04180687658603112,0.002619038228675738,210039.8,217.18784496375483,0.2890618210939659,0.030737995071393787,0.21926983333320296,0.0003644432247064798,0.7786815809795709,0.0017677125045824265,0.5102354907601211,0.012479659735615304,0.03228722462220894,0.002781894995635079,213664.0,0.0,0.02047098152024237,0.024959319471230614,0.22136251310468774,0.0002806961458938324
8,5,0.7835201323382688,0.0014479259195282865,0.6037435329369332,0.03321690390746534,0.021222009635527096,0.001317198637263214,231552.6,185.2928492953789,0.20748706587386617,0.06643380781493073,0.21776803528983496,0.00035313926896704426,0.7789194465665055,0.0006833431648443829,0.5863959278920957,0.014689560158858611,0.06569146859459958,0.0020820341680682433,235616.0,0.0,0.17279185578419154,0.029379120317717243,0.22392961428765448,0.0002688501729883168,0.77933112638995,0.0014434008344962142,0.5125290566128605,0.013152943847893379,0.034753066774115646,0.003104076733331148,235616.0,0.0,0.025058113225721233,0.02630588769578679,0.2219942618497895,0.00026753373389666905,0.7803709362532892,0.0017713502555492485,0.5829007421444217,0.006742976743713034,0.06437557541046199,0.009572669100390048,235616.0,0.0,0.16580148428884328,0.01348595348742607,0.22383114898818418,0.0005417387305347253,0.7948603683897801,0.0014945095375315267,0.7286884050534906,0.0033435939772480552,0.26322496376444604,0.009586126486860247,235616.0,0.0,0.4573768101069812,0.006687187954496135,0.24671244737199513,0.0014327900903945302,0.7848953777342872,0.0012684293939823758,0.6365488669543988,0.010404654474155582,0.04115697955469243,0.0011608987252677146,231471.8,241.19320056751184,0.27309773390879766,0.020809308948311157,0.21928773521557227,0.000433071956477119,0.7794669382904676,0.0013010570076909475,0.5070232674605728,0.013398465254850962,0.03142056422645255,0.004180320355362962,235616.0,0.0,0.014046534921145732,0.026796930509701916,0.22149005160939833,0.0003142377807299361
9,5,0.7823834005308794,0.001654404361263932,0.6070238074931857,0.027536736015163602,0.020158317339194896,0.0003754471199513766,253067.6,210.56742388128322,0.21404761498637156,0.05507347203032719,0.21786797338232627,0.0003556995868639039,0.7790581201226849,0.0017423721638556947,0.5877599151666557,0.013744523013291618,0.06770235084382249,0.002535967692733975,257568.0,0.0,0.1755198303333116,0.027489046026583232,0.22418235184494967,0.0001895726988573305,0.7781379819078309,0.001394331081025739,0.5040572318128627,0.013102837538832847,0.034651185806486254,0.002157368444694118,257568.0,0.0,0.008114463625725354,0.026205675077665695,0.22219840974034044,0.00019947584624156002,0.7798889622238614,0.002171023358031698,0.5702155240420337,0.015195435150029243,0.06523995703381266,0.008141381793722511,257568.0,0.0,0.1404310480840673,0.030390870300058492,0.22400531121878497,0.000497208440118607,0.795558488954459,0.0018847475493469943,0.7362796870617692,0.008353128348763597,0.2758816239083198,0.010341874570782996,257568.0,0.0,0.47255937412353843,0.016706256697527185,0.2489074729780097,0.001422153748714907,0.7837772427151151,0.0020183120809534024,0.6519833930915157,0.011903990510722539,0.038921578143731594,0.0017418518607904452,252895.4,281.50921832153205,0.30396678618303136,0.023807981021445077,0.21933138697289273,0.000363714572959319,0.7792211825911404,0.001574395131509439,0.49655467004612186,0.01053291659601142,0.031659830175620886,0.002157293477988323,257568.0,0.0,-0.006890659907756376,0.021065833192022855,0.2216890296931296,0.00029024675865676374
