iteration,filtered_accuracy_mean,filtered_accuracy_std,oracle_accuracy_mean,oracle_accuracy_std,filtered_train_size_mean,filtered_train_size_std,oracle_train_size_mean,oracle_train_size_std,n_runs
0,0.7776833333333333,0.004450156052195123,0.7776833333333333,0.004450156052195123,60000.0,0.0,60000.0,0.0,5
1,0.7767022664846277,0.002220285289667833,0.7765481056677446,0.0019574697949026145,60500.2,45.296357469447805,81952.0,0.0,5
2,0.7729775769178132,0.004370789403683043,0.7783744766854339,0.001189900044954171,61018.4,95.37211332459819,103904.0,0.0,5
3,0.7711306823188679,0.0031040991511379276,0.7787938979818846,0.0015431961838620353,61543.2,106.2306923633655,125856.0,0.0,5
4,0.7697413231224604,0.004250466495934008,0.7787023882010689,0.002322528096038403,62088.4,165.5881638282157,147808.0,0.0,5
5,0.7664162625804174,0.0033016767710214523,0.7790056550424127,0.0012219979890071486,62659.4,222.39118687573932,169760.0,0.0,5
6,0.7676084327054509,0.004758012560037699,0.7782072346973372,0.001615165307456866,63215.0,262.3692055100979,191712.0,0.0,5
7,0.7630078966760255,0.0014079712093834345,0.7786254182949947,0.0018043461270305678,63784.8,298.8694698359135,213664.0,0.0,5
8,0.7658283299226408,0.0023138204648001774,0.777480689245395,0.0012139227335424456,64364.6,350.81881363461684,235616.0,0.0,5
9,0.7615079634765531,0.0019316007404238486,0.7769848973094693,0.0012216181579084507,64958.8,401.22283085587236,257568.0,0.0,5
10,0.7597757338257162,0.0033188585671622564,0.7770141671436749,0.00116495643539117,65589.0,455.2449889894451,279520.0,0.0,5
