iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std,parceling_accuracy_mean,parceling_accuracy_std,parceling_precision_mean,parceling_precision_std,parceling_recall_mean,parceling_recall_std,parceling_train_size_mean,parceling_train_size_std,parceling_kickout_mean,parceling_kickout_std,parceling_default_rate_mean,parceling_default_rate_std,fuzzy_augmentation_accuracy_mean,fuzzy_augmentation_accuracy_std,fuzzy_augmentation_precision_mean,fuzzy_augmentation_precision_std,fuzzy_augmentation_recall_mean,fuzzy_augmentation_recall_std,fuzzy_augmentation_train_size_mean,fuzzy_augmentation_train_size_std,fuzzy_augmentation_kickout_mean,fuzzy_augmentation_kickout_std,fuzzy_augmentation_default_rate_mean,fuzzy_augmentation_default_rate_std,simple_extrapolation_accuracy_mean,simple_extrapolation_accuracy_std,simple_extrapolation_precision_mean,simple_extrapolation_precision_std,simple_extrapolation_recall_mean,simple_extrapolation_recall_std,simple_extrapolation_train_size_mean,simple_extrapolation_train_size_std,simple_extrapolation_kickout_mean,simple_extrapolation_kickout_std,simple_extrapolation_default_rate_mean,simple_extrapolation_default_rate_std,shallow_self_learning_accuracy_mean,shallow_self_learning_accuracy_std,shallow_self_learning_precision_mean,shallow_self_learning_precision_std,shallow_self_learning_recall_mean,shallow_self_learning_recall_std,shallow_self_learning_train_size_mean,shallow_self_learning_train_size_std,shallow_self_learning_kickout_mean,shallow_self_learning_kickout_std,shallow_self_learning_default_rate_mean,shallow_self_learning_default_rate_std,twins_accuracy_mean,twins_accuracy_std,twins_precision_mean,twins_precision_std,twins_recall_mean,twins_recall_std,twins_train_size_mean,twins_train_size_std,twins_kickout_mean,twins_kickout_std,twins_default_rate_mean,twins_default_rate_std
0,5,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802,0.7775666666666666,0.004728577422908977,0.5420361171326817,0.023759688480984073,0.05769496518233097,0.007859003257615016,60000.0,0.0,0.08407223426536337,0.04751937696196815,0.22374666666666668,0.0016902793983375802
1,5,0.7786502048736638,0.0024727590073421717,0.5264319470521424,0.022922291264618155,0.048403696615911394,0.0015830129108822951,81447.2,45.831866643199255,0.05286389410428464,0.04584458252923634,0.22159897731655276,0.0012986317675351866,0.7765725093038862,0.0018983142921939632,0.5499268695858021,0.011225327312916644,0.052535568238208874,0.0038017523156103935,81952.0,0.0,0.09985373917160416,0.0224506546258333,0.22342590784849667,0.0013916446217893139,0.7751570984076628,0.0014117245126623898,0.5103951817374921,0.03313621440829259,0.044231366170401284,0.003778807679097654,81952.0,0.0,0.020790363474984187,0.06627242881658518,0.222820675517376,0.001373600004447292,0.7753401256787262,0.0017080802093438594,0.5286877853821629,0.03315264768251837,0.055473753198483765,0.004881830426103028,81952.0,0.0,0.05737557076432579,0.06630529536503675,0.22368703631393988,0.0013675815796063133,0.7781221401988896,0.0019524434081112326,0.602466352818776,0.024422842062178315,0.08645451899463989,0.0030947995803710256,81952.0,0.0,0.20493270563755211,0.0488456841243566,0.22639349863334637,0.0014704128997915108,0.776204543924391,0.0030545513117651657,0.5470283321364974,0.018417305986010206,0.052104103566439186,0.0022367051906301157,81531.6,38.5362167317966,0.09405666427299479,0.036834611972020405,0.22224776906810478,0.001280694197958786,0.7764138856689647,0.0012319607173174253,0.5348545753395781,0.025479756774823975,0.04853557195675693,0.0024875363164584044,81952.0,0.0,0.06970915067915621,0.05095951354964794,0.2228304373291683,0.0013732314023561455
2,5,0.7813762799754269,0.0013092515068552442,0.5273733536750528,0.02106489899352037,0.04147581830417066,0.003702631067941178,102903.6,92.13164494352634,0.05474670735010562,0.04212979798704075,0.22032285204210283,0.0005147965468782931,0.7784418459169433,0.0009382460984132627,0.5530691506423655,0.02196316960918245,0.05624765589646412,0.0034632719020223596,103904.0,0.0,0.10613830128473101,0.04392633921836489,0.22320411148752695,0.0007171055352922207,0.7764881382031663,0.0010371807893057028,0.4840123407465405,0.018207998748991257,0.04048305893963016,0.0031298885616772754,103904.0,0.0,-0.03197531850691904,0.03641599749798253,0.22229943024330154,0.0005502994838390507,0.776247533804918,0.0013091709598677106,0.5407139787402058,0.012893601484691186,0.05727289154587064,0.004109027100073947,103904.0,0.0,0.08142795748041164,0.02578720296938238,0.22361025562057285,0.0007594761500251132,0.7802800635195611,0.0008904313367957791,0.6168026140967318,0.008709400004087705,0.1114861705138898,0.006374563481554267,103904.0,0.0,0.23360522819346352,0.017418800008175445,0.22889397905759162,0.0010610816097648096,0.7794957738754498,0.0031657698931001534,0.5539326888565954,0.016018039171872767,0.05057957853074653,0.0028503736025727324,103057.4,69.46826613641657,0.10786537771319064,0.0320360783437455,0.22136810377143218,0.0005742144387682422,0.7785380876762428,0.001540289148935969,0.5249091061751467,0.015195653406798479,0.04571862182204134,0.004663289036044259,103904.0,0.0,0.04981821235029356,0.03039130681359701,0.22219933785032336,0.0007524085487281646
3,5,0.7808949385443315,0.0014240386994789705,0.5343475038505111,0.01791992845010384,0.04082073996503508,0.0019518962808564451,124358.2,94.66657276990648,0.06869500770102213,0.03583985690020771,0.21983128203263239,0.0006545161782269662,0.778921023359288,0.00147898541784414,0.5484792839090766,0.01474175421048831,0.05709128018969638,0.0039048039475582004,125856.0,0.0,0.0969585678181533,0.02948350842097662,0.22347285786931095,0.0008428857762366492,0.7786826632766566,0.001962514097276375,0.5047554953536857,0.012198959685941172,0.04085079841495348,0.002861045074179664,125856.0,0.0,0.00951099070737146,0.02439791937188234,0.22235888634630055,0.0007256441204498797,0.7775385348800254,0.0017095217327142114,0.5582734368100501,0.01820311353028369,0.058517752305833795,0.0035063826423130757,125856.0,0.0,0.11654687362010012,0.0364062270605674,0.22386854818204935,0.0009416565093152705,0.7816383283012872,0.0010947854348094812,0.6444417888755988,0.01775735961174646,0.1350495094962314,0.0032795425196601867,125856.0,0.0,0.2888835777511975,0.03551471922349285,0.2316472794304602,0.0010791197552919554,0.7812923359905166,0.0017746191253420098,0.5602557499772441,0.015578098866081636,0.05054797190428741,0.0035490315573789375,124551.6,69.76704092908055,0.12051149995448826,0.03115619773216332,0.22104753050640982,0.0007578941653102326,0.7783648498331479,0.001719206233963723,0.5425097999003429,0.00865192876180499,0.046070631841554986,0.0029920253861732975,125856.0,0.0,0.08501959980068582,0.017303857523609956,0.22220315280956013,0.0008823625340768394
4,5,0.781689047238108,0.002395312278563945,0.5141669159578784,0.019176777639483472,0.0381151032508177,0.002259904509625053,145821.0,112.4562137011557,0.028333831915756745,0.03835355527896693,0.21922362513884536,0.0004513237358888795,0.7787565117380421,0.0022128891438432446,0.5492619956049474,0.0218069883705572,0.059890470723594616,0.0038705348407234697,147808.0,0.0,0.09852399120989459,0.04361397674111438,0.22340468716172332,0.0005891066829323008,0.7787159190853121,0.0014693007704822227,0.4895111300569258,0.007367614965012004,0.04073700568823946,0.0018375291930685497,147808.0,0.0,-0.020977739886148337,0.01473522993002403,0.22217471314137258,0.0005043186902172652,0.7774304850822001,0.001990190236564799,0.5264717698745122,0.01733065592126261,0.05656398101692457,0.00436915083885428,147808.0,0.0,0.052943539749024195,0.03466131184252522,0.22384309374323447,0.000740600693247671,0.78356674108653,0.0020909922972465115,0.6520940585605899,0.018882813103341237,0.15431289689903577,0.004346236056701447,147808.0,0.0,0.30418811712117966,0.03776562620668246,0.23388991123619834,0.0009774021101359607,0.7816484738873057,0.0027555347400095667,0.564453175563947,0.005283904599127051,0.05037272937676494,0.004073172768582451,146029.4,96.3173919912702,0.12890635112789392,0.01056780919825416,0.22047901703829081,0.0005976298324430861,0.7792774507814085,0.0010132364853685965,0.5199686179201495,0.021616333673062444,0.0425644050831009,0.003686785612402107,147808.0,0.0,0.03993723584029885,0.04323266734612488,0.22192844771595582,0.0006670473105358234
5,5,0.7833964895177437,0.0011719039943375587,0.5315114868999085,0.0080275651316553,0.037264686793137866,0.0012552538771925306,167279.8,128.52455018400184,0.0630229737998169,0.01605513026331059,0.21877479542981168,0.0004476431123176393,0.7789997643732328,0.0011982264029303886,0.5509824767418761,0.012333265894538249,0.05816832829806025,0.0030330906427684296,169760.0,0.0,0.10196495348375209,0.024666531789076483,0.2233824222431668,0.0005563811102180446,0.7780042412818097,0.002587767685521935,0.49474141223368323,0.014469064200581855,0.03976157588410982,0.0020680753167792868,169760.0,0.0,-0.010517175532633451,0.02893812840116371,0.22204406220546655,0.0004694150045682757,0.7778923185673892,0.002805900787804064,0.5377948360560791,0.007104153778574816,0.0599224957138319,0.0037763063035695884,169760.0,0.0,0.07558967211215849,0.014208307557149632,0.22382304429783223,0.0006847116820689238,0.7855796418473139,0.0016871394836682505,0.6749999207985675,0.0013677251360627038,0.17363308871358046,0.005658883063872123,169760.0,0.0,0.3499998415971351,0.002735450272125442,0.23619462770970784,0.0011198941412504724,0.7827510051872796,0.00159987673503505,0.5595820633736753,0.01867320521837078,0.04877949092289653,0.0037815316004127836,167478.6,114.34789022977206,0.11916412674735063,0.0373464104367416,0.22004138828389658,0.0005843066687313544,0.7800483034872763,0.001463970550934192,0.5182692359263859,0.011795297617964946,0.04240638082222056,0.003135206447378893,169760.0,0.0,0.036538471852771835,0.023590595235929927,0.22178016022620167,0.0006321278167510045
6,5,0.7822020308519024,0.0016619086020623916,0.5163033061853175,0.018324047403305038,0.03503488060431927,0.0021692035367034007,188742.6,142.30474342059014,0.03260661237063509,0.03664809480661006,0.2185230493081105,0.0003975224781319544,0.7781655060897686,0.001659696024327021,0.547214756074837,0.0063135212791215955,0.0585676101679478,0.003075818424142005,191712.0,0.0,0.09442951214967406,0.012627042558243193,0.22344141211817722,0.0004833731911930985,0.7772996374827217,0.002040212614315361,0.4966372096385368,0.011569325557253905,0.03763267330029525,0.003127526518616292,191712.0,0.0,-0.006725580722926315,0.02313865111450784,0.22201427140711066,0.0004128535170539179,0.7768249745716298,0.001988577220552403,0.5461830155098338,0.01578098021724914,0.05998721098245461,0.005801122064223347,191712.0,0.0,0.09236603101966763,0.03156196043449826,0.22391712568853278,0.000515862952028721,0.7861356701353571,0.00269845107638903,0.6939878783128492,0.01062680148485886,0.18822289111967055,0.008127186606616708,191712.0,0.0,0.3879757566256986,0.021253602969717757,0.23835857953597062,0.001033407044758553,0.7823892672895706,0.0013077873856209646,0.5582062000801968,0.0068092086455662885,0.04639432179777579,0.00188860660078099,188958.6,109.64415169082207,0.11641240016039375,0.013618417291132551,0.21986093694490672,0.0005474807966800182,0.7780559684949012,0.0012504447418304765,0.5281738679601369,0.011830996913037038,0.043171104850878876,0.00402479904361425,191712.0,0.0,0.05634773592027368,0.02366199382607412,0.22176702553830746,0.000491168198549213
7,5,0.7829329302480351,0.00082843370816227,0.5286745774326166,0.010556844837985014,0.03492717622320532,0.0016710815133541238,210236.8,125.39122776334875,0.05734915486523319,0.021113689675969997,0.218570670312271,0.0002699937012418929,0.7786722205321415,0.0017939975770041971,0.5529642325551888,0.025343167100615318,0.05927703255772372,0.002568956196602626,213664.0,0.0,0.1059284651103776,0.05068633420123068,0.22371199640557138,0.00032290845802272744,0.7767065265719701,0.002618291330869816,0.4854063700763735,0.016650725197343553,0.03761840975394233,0.001015238739914083,213664.0,0.0,-0.029187259847253066,0.033301450394687064,0.22222929459338023,0.00023950056605010855,0.7778859429480729,0.0016222630299912643,0.5489039412143281,0.015880402481530765,0.060393098141727095,0.006906419071725795,213664.0,0.0,0.09780788242865604,0.031760804963061565,0.22415193949378462,0.0005221644136215155,0.7882011560152575,0.0019898602857877485,0.7054765100686232,0.009424160901113414,0.20393098057328785,0.008080225817822258,213664.0,0.0,0.4109530201372465,0.01884832180222681,0.24047195596824925,0.0010243790773008347,0.7827709687545185,0.002951608765429307,0.5747432216616308,0.011717786052343733,0.047581147292358655,0.0007253521633338467,210434.4,107.4068899093536,0.14948644332326158,0.023435572104687497,0.2199384428749218,0.00032944495382358015,0.7793789343130602,0.001151601357207224,0.5362637285020306,0.03532626538691656,0.043514678124198986,0.004205163214002393,213664.0,0.0,0.07252745700406119,0.07065253077383311,0.22197562528081477,0.00038728459836939993
8,5,0.7825906167644983,0.0005194673531108274,0.5211794587784926,0.012701926742624292,0.034581359683536886,0.0016714803589549787,231699.0,106.60581597642785,0.04235891755698536,0.02540385348524856,0.21856711316997712,0.00034303994153545345,0.7772939478821833,0.0011115548882543506,0.5563121981874948,0.015212236797649005,0.05978092720171816,0.002118347503952981,235616.0,0.0,0.1126243963749896,0.03042447359529798,0.22392961428765448,0.0002688501729883168,0.7773066802478568,0.002835931012845841,0.4852664656510354,0.015018461615283925,0.037938603250526094,0.0013287521979887533,235616.0,0.0,-0.029467068697929366,0.03003692323056786,0.22237114627190002,0.0002938184075161287,0.7771284271284272,0.002211655856872807,0.5382253579857782,0.00793114736749859,0.05913899113772503,0.004955681397255276,235616.0,0.0,0.07645071597155655,0.015862294734997166,0.22436506858617408,0.0005590104517868703,0.7883880825057296,0.0009665981783723927,0.7108513672047587,0.00674810605872545,0.21572358882692297,0.0062781723864113285,235616.0,0.0,0.42170273440951733,0.013496212117450912,0.24240798587532258,0.0008131166720878034,0.7827052491248208,0.0012386894907697966,0.5774506246949052,0.013018416776388977,0.04707205196573498,0.002173997322539002,231889.8,103.55945152423318,0.15490124938981045,0.026036833552777992,0.21994323545529051,0.00042385373477719083,0.7793862999745353,0.002948165150568233,0.5283634285996329,0.018565965686416823,0.0429962675671718,0.002722911598236033,235616.0,0.0,0.056726857199265804,0.037131931372833646,0.2221241341844357,0.00044450308566885467
9,5,0.7804116388645179,0.0009150179904757142,0.5187240251138582,0.009184365647321684,0.03426498412581501,0.0020272646270321584,253185.6,110.73680508304365,0.03744805022771643,0.01836873129464344,0.21864423540216285,0.0003208953833307113,0.7769033660752417,0.0012768800655580724,0.5472692427297738,0.01889171803879483,0.061946716912272735,0.0016922576560821267,257568.0,0.0,0.09453848545954768,0.03778343607758966,0.22418235184494967,0.0001895726988573305,0.7772450207710525,0.0011649260233490796,0.5060918733619302,0.018921150906597753,0.03989327589711932,0.0013979892302822823,257568.0,0.0,0.01218374672386012,0.0378423018131955,0.22257889178779972,0.00022705512340039143,0.7775362037504369,0.0014942602150938883,0.5423138816169452,0.008860900815028978,0.0621614390686301,0.004707455526504763,257568.0,0.0,0.08462776323389046,0.01772180163005795,0.22456904584420428,0.0005019443482537393,0.7890670497340528,0.0015709255021324157,0.7207632607933666,0.006043720227781592,0.22470893832615388,0.008913595013342789,257568.0,0.0,0.4415265215867333,0.012087440455563245,0.24417629519194933,0.0008836658363747344,0.7837906222650673,0.001364432751918816,0.5896500003194907,0.01422775776304911,0.04873039240645099,0.001934621618047783,253353.8,114.02526035927303,0.17930000063898127,0.0284555155260982,0.21999184112731385,0.00034399771395507656,0.7785844624762202,0.0014903209005450125,0.5410019732661348,0.009372126029321307,0.04554586579339075,0.0029367032659826644,257568.0,0.0,0.0820039465322695,0.018744252058642635,0.2222908125232948,0.0004067450063804743
