iteration,filtered_accuracy_mean,filtered_accuracy_std,oracle_accuracy_mean,oracle_accuracy_std,filtered_train_size_mean,filtered_train_size_std,oracle_train_size_mean,oracle_train_size_std,n_runs
0,0.7812,0.015144636014114053,0.7812,0.015144636014114053,5000.0,0.0,5000.0,0.0,5
1,0.7763098006660858,0.020772455839845362,0.7778360655737705,0.0135812128167865,5117.6,31.391718653173484,7623.0,0.0,5
2,0.7729797160264557,0.01252682606179456,0.780780487804878,0.007629742359421335,5237.2,57.582636271709546,10246.0,0.0,5
3,0.7614922574329961,0.018645061017902607,0.7826728826728827,0.011336225648772857,5352.0,71.05209356521453,12869.0,0.0,5
4,0.7621697421753242,0.02227353136850505,0.7790254920942239,0.009022256014095531,5467.6,84.65837229713314,15492.0,0.0,5
5,0.7615999802154966,0.014393298808232551,0.7791885178029258,0.0054981615668732945,5578.4,90.78898611615838,18115.0,0.0,5
6,0.7467514434934032,0.014448219703673793,0.7764223722275795,0.008147792017989838,5673.6,96.81859325563453,20738.0,0.0,5
7,0.7560004814299861,0.015385617981969484,0.7816392039375133,0.0038533416290510883,5777.6,102.2342408393587,23361.0,0.0,5
8,0.749837088096596,0.007633437591786172,0.7831056378680008,0.006347367764485401,5881.8,108.31140290846574,25984.0,0.0,5
9,0.7477454965392587,0.018318505391724742,0.7807409996504718,0.003480570229850977,5988.4,120.94064659989213,28607.0,0.0,5
10,0.7494464136863093,0.01106252581845672,0.7799871918027537,0.0024499339434375382,6103.2,121.03454052459571,31230.0,0.0,5
