iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std,parceling_accuracy_mean,parceling_accuracy_std,parceling_precision_mean,parceling_precision_std,parceling_recall_mean,parceling_recall_std,parceling_train_size_mean,parceling_train_size_std,parceling_kickout_mean,parceling_kickout_std,parceling_default_rate_mean,parceling_default_rate_std,fuzzy_augmentation_accuracy_mean,fuzzy_augmentation_accuracy_std,fuzzy_augmentation_precision_mean,fuzzy_augmentation_precision_std,fuzzy_augmentation_recall_mean,fuzzy_augmentation_recall_std,fuzzy_augmentation_train_size_mean,fuzzy_augmentation_train_size_std,fuzzy_augmentation_kickout_mean,fuzzy_augmentation_kickout_std,fuzzy_augmentation_default_rate_mean,fuzzy_augmentation_default_rate_std,simple_extrapolation_accuracy_mean,simple_extrapolation_accuracy_std,simple_extrapolation_precision_mean,simple_extrapolation_precision_std,simple_extrapolation_recall_mean,simple_extrapolation_recall_std,simple_extrapolation_train_size_mean,simple_extrapolation_train_size_std,simple_extrapolation_kickout_mean,simple_extrapolation_kickout_std,simple_extrapolation_default_rate_mean,simple_extrapolation_default_rate_std,shallow_self_learning_accuracy_mean,shallow_self_learning_accuracy_std,shallow_self_learning_precision_mean,shallow_self_learning_precision_std,shallow_self_learning_recall_mean,shallow_self_learning_recall_std,shallow_self_learning_train_size_mean,shallow_self_learning_train_size_std,shallow_self_learning_kickout_mean,shallow_self_learning_kickout_std,shallow_self_learning_default_rate_mean,shallow_self_learning_default_rate_std,twins_accuracy_mean,twins_accuracy_std,twins_precision_mean,twins_precision_std,twins_recall_mean,twins_recall_std,twins_train_size_mean,twins_train_size_std,twins_kickout_mean,twins_kickout_std,twins_default_rate_mean,twins_default_rate_std
0,5,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006,0.7802,0.014688771221582846,0.5584332838528782,0.07649139400961112,0.1141996521927507,0.023920847541627703,5000.0,0.0,0.11686656770575624,0.15298278801922222,0.23040000000000002,0.003941573289944006
1,5,0.7749018971614764,0.012283011927914193,0.5796426889146142,0.0660326819376053,0.08271497161853283,0.014256424518539082,7506.2,30.9864486509829,0.15928537782922841,0.13206536387521062,0.2252484590342577,0.0020188206404079265,0.777967213114754,0.013442463013842637,0.6042085534495371,0.07051545166519085,0.1034502443026428,0.02387145604654693,7623.0,0.0,0.2084171068990742,0.1410309033303817,0.23030303030303031,0.0012598931867813645,0.780327868852459,0.006357612927759144,0.6127935278311218,0.05766909062581333,0.08282055669658872,0.00981931065173486,7623.0,0.0,0.22558705566224363,0.11533818125162663,0.2280467007739735,0.0015885478686313102,0.779672131147541,0.008009668975529145,0.614126703730649,0.045336509405731674,0.10700593785325699,0.018091315403362482,7623.0,0.0,0.22825340746129802,0.09067301881146339,0.23169355896628624,0.002027854005923085,0.7813770491803278,0.009072907832880235,0.6619221404074243,0.045619689138082106,0.1438514834747855,0.03257304932549727,7623.0,0.0,0.32384428081484823,0.09123937827616425,0.2371244916699462,0.0024254119898033987,0.7851280970421172,0.016674427968654922,0.56689885586112,0.09171149975463458,0.08488594230526258,0.028404198644364977,7527.8,24.967178454923577,0.13379771172224003,0.18342299950926916,0.22617166729488147,0.0017780309966567442,0.7778360655737705,0.010511457001712224,0.5189274550775955,0.06295687043241008,0.0748031339438658,0.0169881485492781,7623.0,0.0,0.03785491015519117,0.12591374086482016,0.22660369933097207,0.001729612984268608
2,5,0.7925486041208947,0.004047418232144993,0.5993545077880377,0.06476384606764601,0.07832966637052378,0.007878882008543605,10015.6,52.09452946327474,0.19870901557607545,0.129527692135292,0.2221865600156483,0.00318109751349059,0.7812682926829269,0.007516628403612971,0.5880731437659168,0.05356690912109867,0.11048837183376917,0.016200620938250927,10246.0,0.0,0.17614628753183376,0.10713381824219734,0.23009955104430996,0.002925107584607331,0.7791219512195122,0.010088955918669288,0.47309209140788094,0.0376074255337741,0.0712823145774311,0.012800355247812676,10246.0,0.0,-0.05381581718423824,0.0752148510675482,0.22687878196369313,0.0030281515066596697,0.7856585365853658,0.007814628056390558,0.5804491289708681,0.06291692527105221,0.11600668571117415,0.02192148452338685,10246.0,0.0,0.1608982579417362,0.12583385054210441,0.2316220964278743,0.0038953643359801423,0.7871219512195122,0.006034601792855465,0.654606423527865,0.03971797944516525,0.18856577005462993,0.023084638402235076,10246.0,0.0,0.30921284705573016,0.07943595889033052,0.24105016591840717,0.0037791889728767563,0.7945609321980399,0.0076843748515228365,0.5597604080458758,0.04249174667063691,0.08159671981060587,0.011177192124566141,10059.6,33.921084888310986,0.11952081609175162,0.08498349334127381,0.22356217632970474,0.0034210778062449695,0.7844878048780488,0.013274747353947066,0.4747897942314692,0.051985504321605196,0.07024526006717467,0.009670064201277879,10246.0,0.0,-0.050420411537061595,0.10397100864321043,0.2256685535818856,0.003672838313528687
3,5,0.7814374255571297,0.0076047545728238995,0.5324664602683178,0.019239143949130167,0.05726890790540552,0.010022160951680861,12529.0,72.67461730205396,0.06493292053663571,0.038478287898260355,0.22007934171208593,0.004258955364084315,0.7826728826728827,0.011489632159610816,0.5913118084054941,0.06556332003609809,0.1084586749483049,0.022917205631588587,12869.0,0.0,0.18262361681098857,0.1311266400721962,0.22910871085554435,0.002980351175785062,0.7766899766899767,0.007029173506075321,0.5046714418458088,0.050639858932037596,0.06029459765518823,0.01324279750960888,12869.0,0.0,0.009342883691617792,0.10127971786407515,0.22547206465148806,0.003545511296852303,0.7793317793317793,0.002938254918599676,0.6178013068013068,0.07706185286067342,0.10538046001319393,0.01568151179616208,12869.0,0.0,0.23560261360261361,0.15412370572134684,0.2312844820887404,0.003675293901627107,0.7845376845376846,0.008996447721854579,0.6860337436667509,0.03143054230497378,0.19194425472969892,0.042630607260387345,12869.0,0.0,0.37206748733350187,0.06286108460994753,0.24461885150361332,0.0024355630459752618,0.7805913680671932,0.008787390306827948,0.523040293040293,0.05918516234112213,0.06863191131347243,0.015567514601612636,12588.8,48.881080184464004,0.046080586080586086,0.11837032468224423,0.221469659298217,0.004163360774069492,0.7735042735042735,0.010853007116712372,0.5327377480414023,0.06241830958777975,0.0552190129386211,0.011011377163921948,12869.0,0.0,0.06547549608280437,0.12483661917555947,0.22427539047323025,0.0037548701391003324
4,5,0.7870943453375684,0.006601150019366399,0.5701937602627257,0.022842771466755958,0.061559651509110594,0.007759353587530777,15049.6,92.31381261761427,0.14038752052545153,0.04568554293351196,0.21957461007555995,0.0037690696604768454,0.779219102936431,0.008899081091128065,0.6303876474452759,0.025830809213732146,0.10310990866212322,0.014277857366842043,15492.0,0.0,0.2607752948905517,0.05166161842746431,0.22929253808417246,0.002144907247708767,0.7739916101968377,0.008577831927043577,0.5320560629122273,0.04879033584973736,0.054257270107658996,0.00910679632453564,15492.0,0.0,0.0641121258244546,0.09758067169947474,0.22553576039246065,0.002865879044773896,0.7799935463052599,0.010554109633693257,0.5923622515610228,0.06468387413109075,0.11235209114713518,0.030523481297098365,15492.0,0.0,0.18472450312204564,0.12936774826218153,0.23153885876581462,0.0019777848787526585,0.7856727976766698,0.009749992884425296,0.7336252736532289,0.02041949456509916,0.21786403650030498,0.03659826200414765,15492.0,0.0,0.4672505473064579,0.040838989130198275,0.24768912987348307,0.0023976969281010387,0.786151047253689,0.0066672918770828765,0.5967514542907535,0.048760928002597105,0.06938496175353734,0.010479407084973478,15125.4,61.594155566904234,0.19350290858150693,0.09752185600519421,0.2208477139495874,0.003543383017949378,0.7759922555663117,0.00839327750931864,0.48586879410685047,0.06452871637485687,0.05318572104532686,0.010234224039237605,15492.0,0.0,-0.028262411786299086,0.12905743274971376,0.22447714949651432,0.0026244251624389565
5,5,0.7835095042299104,0.008945734911107821,0.574134695619555,0.015446039136649613,0.04928879275743667,0.006927414689020759,17569.8,105.60946927240947,0.14826939123911015,0.030892078273299227,0.21892973553004103,0.0027666856871565396,0.7789677063207288,0.00710467592302342,0.6329759651499663,0.05175247048698665,0.10104144457472193,0.011092042120884249,18115.0,0.0,0.2659519302999326,0.1035049409739733,0.22922439966878277,0.0012523145626010955,0.7754899254761247,0.004188148327549672,0.5327919390350739,0.019778942881236487,0.05851229311667213,0.009725252566568036,18115.0,0.0,0.06558387807014784,0.03955788576247299,0.22561413193486063,0.0019084551310036468,0.7750483025117306,0.006142172142733054,0.6156850608072078,0.0674946175398984,0.1051062627575489,0.025382938702141925,18115.0,0.0,0.23137012161441556,0.1349892350797968,0.23168644769528016,0.002363817599306238,0.7870825282914712,0.007539992748093339,0.7325553329377734,0.04574933300606731,0.2398385359113692,0.03578437898617681,18115.0,0.0,0.46511066587554667,0.09149866601213465,0.25075351918299754,0.0027633654945723135,0.7809141947134743,0.00652557552668555,0.5980100250118582,0.0758076414050326,0.06089550614710339,0.005779614634781255,17666.0,70.24243731534378,0.1960200500237163,0.15161528281006525,0.22047171287707573,0.002432488677756596,0.7730057963014076,0.005183193858925974,0.5375042212023343,0.03866595370911936,0.049844053074971785,0.00931303752471301,18115.0,0.0,0.07500844240466882,0.07733190741823875,0.22445487165332598,0.0018697400501256644
6,5,0.7832543383789089,0.005644809673174429,0.5510282568103176,0.02809160044803079,0.04353089653321541,0.005543154134998525,20100.6,115.15311545937435,0.1020565136206352,0.056183200896061554,0.2183266275506265,0.0031298382533612897,0.7767598842815815,0.008397063803490838,0.6104857167936713,0.04589508539436835,0.09634109674511399,0.015667836781063215,20738.0,0.0,0.22097143358734234,0.09179017078873677,0.22895168290095474,0.0017540657798267357,0.7753134040501447,0.004450522954373878,0.5177181533855549,0.03685322272518164,0.059398029218145576,0.010589617819293263,20738.0,0.0,0.035436306771109906,0.07370644545036333,0.22549908380750314,0.0022128186100245466,0.779990356798457,0.007682249110165516,0.6295790000816254,0.03449551210710126,0.11398033078626187,0.024866196776108997,20738.0,0.0,0.25915800016325086,0.06899102421420245,0.2313434275243514,0.0021673777603502895,0.7880906460945033,0.00542938794995534,0.7498361734226162,0.02595425665000176,0.2541385108129442,0.02538808561387112,20738.0,0.0,0.49967234684523254,0.05190851330000355,0.25293663805574307,0.0027497785147569368,0.7841346901338895,0.003589381612348086,0.5855092904221306,0.03343747533055411,0.0550205402056053,0.005970682469053159,20214.0,68.6061221757942,0.17101858084426133,0.06687495066110823,0.2199788277151152,0.0026903542631537603,0.776036644165863,0.006047217780178626,0.5316191804763297,0.030011255495853786,0.05152179555811367,0.010031201659300095,20738.0,0.0,0.0632383609526595,0.06002251099170753,0.22452502652136172,0.0022741344795812785
7,5,0.784996050636104,0.0035125241014938562,0.5777246696567978,0.07350734446537409,0.03902883760226703,0.004026398089325095,22638.6,122.45260307563902,0.15544933931359559,0.14701468893074823,0.21857460745535134,0.0031634570831607883,0.7816392039375133,0.0038533416290510883,0.6086289539474526,0.02590941286400855,0.10075197279807813,0.008259217073688646,23361.0,0.0,0.21725790789490507,0.051818825728017125,0.22959633577329736,0.0016231694166508246,0.7748769527070405,0.004044454407850182,0.5073753871467286,0.03023344113339882,0.048523892148628685,0.009872009889325286,23361.0,0.0,0.014750774293457222,0.060466882266797646,0.22612045717221005,0.0022229006697916773,0.7818531992296169,0.005165404867496705,0.6041290854764744,0.04337094676290197,0.11038063129028816,0.02436714924856385,23361.0,0.0,0.20825817095294882,0.08674189352580394,0.2318393904370532,0.0017566272444401478,0.79280975818532,0.005681806728106542,0.7603692393269365,0.018033466765853514,0.2722272955534612,0.02913776090777757,23361.0,0.0,0.5207384786538729,0.03606693353170702,0.25595650871109965,0.002948188693788163,0.7864277302504146,0.006632059890613347,0.6126261447821268,0.017034669624110245,0.05195302844071038,0.005416321532588234,22767.4,72.9947943349387,0.22525228956425364,0.034069339248220476,0.2203333586267504,0.002567372517203224,0.7769741065696555,0.00183786951025757,0.5175803571428571,0.027799211614418517,0.052597773372732436,0.006198537060337287,23361.0,0.0,0.03516071428571428,0.05559842322883698,0.22527289071529472,0.0019465566016690842
8,5,0.7864062224609649,0.006563495949792651,0.6006039608571895,0.0379265404673745,0.039566567199800486,0.003816849150206915,25172.6,128.33954963299504,0.2012079217143789,0.07585308093474899,0.2183384896414886,0.0020707382605203665,0.7831441216086203,0.0063515662222906185,0.6354285406344579,0.035593078503001994,0.10441158896979967,0.006132834663973387,25984.0,0.0,0.27085708126891567,0.07118615700600399,0.22961052955665026,0.0009295276563701046,0.7774100442563017,0.005037402578355805,0.48813823777984416,0.05572412060277704,0.05623713356410846,0.007229223585008455,25984.0,0.0,-0.023723524440311547,0.11144824120555406,0.22616995073891627,0.0012648471244856203,0.7847219549740234,0.005773074186676663,0.6284365656906352,0.04667247549137648,0.11440868199508343,0.028559917785613377,25984.0,0.0,0.2568731313812707,0.09334495098275296,0.2317810960591133,0.0021396675734176324,0.7944198576101598,0.009305269805035217,0.7726436001857298,0.023317449393235625,0.28846715124166866,0.03101157482647944,25984.0,0.0,0.5452872003714593,0.046634898786471285,0.2578432881773399,0.003992859832144941,0.784881385510596,0.004356520055532018,0.6157373180603374,0.04805348404478607,0.05468226033045347,0.006408881996846752,25317.6,76.98467379939983,0.23147463612067493,0.0961069680895722,0.22015121429566772,0.0015330868845543938,0.7799884548778142,0.006008395323847975,0.5592816576778722,0.07460679234007528,0.054874073112637464,0.002185284381827203,25984.0,0.0,0.11856331535574409,0.14921358468015047,0.2252155172413793,0.0010915157918948842
9,5,0.7860164892455619,0.006486368781893547,0.575495465204203,0.05645308093885852,0.04157656748572465,0.005453466230260029,27710.2,135.24703323918052,0.15099093040840614,0.11290616187771704,0.2188210060997792,0.0018526165787613558,0.7806011883956658,0.003470024088358143,0.6287118739806685,0.032453904776550684,0.09835387062386411,0.0034524304555897598,28607.0,0.0,0.25742374796133677,0.06490780955310134,0.23018142412696196,0.0009741261284246331,0.777420482348829,0.0036835025662880633,0.5026151676682094,0.04381027546621842,0.056948023302929765,0.003722636301233272,28607.0,0.0,0.005230335336418904,0.08762055093243684,0.22678365435033382,0.0011317696617142252,0.7782593498776651,0.003453790793998069,0.620009395476411,0.03487437617414039,0.1065000009044496,0.02388736382772849,28607.0,0.0,0.2400187909528221,0.06974875234828078,0.23220190862376344,0.0031356254104416567,0.7926948619363859,0.006744534637657787,0.7810331343050569,0.019497664149504716,0.29166526282296734,0.026873732504036546,28607.0,0.0,0.5620662686101137,0.038995328299009355,0.2600342573495997,0.004039517252725417,0.7902378758766974,0.008489709867127505,0.6358900751189908,0.05233076992995128,0.05082763575472647,0.005926156124765499,27865.0,82.22651640438137,0.2717801502379816,0.10466153985990251,0.22049583984848362,0.0014130976734625163,0.7774204823488291,0.0037148773870916336,0.531823785926545,0.04206703515629593,0.053283022820705475,0.006852632184706565,28607.0,0.0,0.06364757185308989,0.0841340703125918,0.22574894256650468,0.0013233693861375178
