iteration,filtered_accuracy_mean,filtered_accuracy_std,oracle_accuracy_mean,oracle_accuracy_std,filtered_train_size_mean,filtered_train_size_std,oracle_train_size_mean,oracle_train_size_std,n_runs
0,0.781,0.011099549540409297,0.781,0.011099549540409297,5000.0,0.0,5000.0,0.0,5
1,0.7747097311109419,0.01546781428394694,0.7733770491803279,0.011263428487125948,5122.0,30.880414504990053,7623.0,0.0,5
2,0.7556322850437283,0.0077823484346026435,0.7760975609756098,0.0041620934649173776,5237.6,62.0760823506123,10246.0,0.0,5
3,0.760036136563502,0.011875632768332013,0.7786324786324786,0.011619734230881194,5345.8,80.91575866294525,12869.0,0.0,5
4,0.7711040833463376,0.012725715644425503,0.7765730880929332,0.008455571641148737,5450.0,102.44803560830242,15492.0,0.0,5
5,0.7638554543601201,0.019591058307040703,0.7799613579906156,0.007683716087129957,5560.4,112.78049476749071,18115.0,0.0,5
6,0.752050532837138,0.016099831320154745,0.7769527483124398,0.006932717505435045,5663.6,129.21393113747448,20738.0,0.0,5
7,0.7530776223801947,0.016088604276586843,0.7792852557243741,0.002853769840046154,5773.4,137.11542582802272,23361.0,0.0,5
8,0.7356161872855916,0.018517045033988946,0.7814508370213584,0.0064227506901231675,5888.6,151.7980237025502,25984.0,0.0,5
9,0.7471011953229036,0.019043593480840008,0.7808109052778749,0.003469671998246311,5997.8,166.50093092832844,28607.0,0.0,5
10,0.7399308156315468,0.019770370560861013,0.7800832532821006,0.0021896024332089124,6110.8,173.63801427106912,31230.0,0.0,5
